Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1156501121,ArupS,0,174.85,P Jameson Taillon P German Márquez 3B Nolan Arenado SS Alex Bregman 2B Jose Altuve C Francisco Cervelli OF Whit Merrifield OF Stephen Piscotty 1B Ryan O'Hearn OF Marwin González,,Clayton Kershaw,P,35.37%,27.8
2,1156318255,Emac (4/10),0,166.5,P Clayton Kershaw P Wei-Yin Chen 3B Justin Turner 1B Max Muncy OF Cody Bellinger 2B Brian Dozier SS Ketel Marte OF Marwin González OF Chad Pinder C Jonathan Lucroy,,Marwin González,SS,23.16%,25
3,1156560110,nyo420 (9/10),0,157.35,P Clayton Kershaw P Mike Fiers 3B Nolan Arenado SS Alex Bregman 1B Tyler White OF Marwin González 2B Chad Pinder OF Mark Canha OF Craig Gentry C Jonathan Lucroy,,Matt Chapman,3B,22.95%,11
4,1156318260,Emac (9/10),0,153.5,P Clayton Kershaw P Wei-Yin Chen 3B Justin Turner 1B Max Muncy OF Cody Bellinger 2B Brian Dozier SS Ketel Marte OF Kole Calhoun OF Marwin González C Jonathan Lucroy,,Jonathan Lucroy,C,22.53%,23
5,1156429355,hardhatman (7/10),0,150.5,P Clayton Kershaw P Wei-Yin Chen OF Brett Gardner SS Eduardo Escobar 2B Ozzie Albies 1B José Martínez 3B Johan Camargo OF Ramón Laureano OF Marwin González C Jonathan Lucroy,,Khris Davis,OF,21.68%,0
6,1156476949,imadeit110 (1/6),0,150.35,P Clayton Kershaw P Mike Fiers OF Cody Bellinger 2B Jose Altuve 3B Matt Chapman OF Trey Mancini 1B Tyler White SS Marwin González C Jonathan Lucroy OF Rosell Herrera,,Aníbal Sánchez,P,18.11%,11.15
6,1156476959,imadeit110 (2/6),0,150.35,P Clayton Kershaw P Mike Fiers 2B Jose Altuve SS Marcus Semien 3B Matt Chapman OF Stephen Piscotty OF Trey Mancini 1B Lucas Duda C Jonathan Lucroy OF Rosell Herrera,,Corey Kluber,P,17.68%,7.4
8,1156220395,ejwilson1977 (4/6),0,150.25,P Mike Fiers P Wei-Yin Chen OF David Peralta 3B Justin Turner SS Manny Machado 1B Max Muncy OF Cody Bellinger OF Steven Souza Jr. 2B Ketel Marte C Jonathan Lucroy,,Mike Fiers,P,17.26%,24.55
9,1156558463,vego07 (2/4),0,149.65,P Clayton Kershaw P Sonny Gray OF Nelson Cruz SS Jean Segura OF Mitch Haniger 3B Matt Chapman 1B Ryon Healy OF Mark Canha 2B Greg Garcia C Jonathan Lucroy,,Robbie Ray,P,17.05%,17.85
10,1156318258,Emac (7/10),0,149.5,P Clayton Kershaw P Wei-Yin Chen 3B Justin Turner 1B Max Muncy OF Cody Bellinger 2B Brian Dozier SS Ketel Marte OF Marwin González OF Chad Pinder C John Ryan Murphy,,Mark Canha,OF,16.42%,5
11,1156293608,t5662jp (5/10),0,148.65,P Clayton Kershaw P Sonny Gray 1B Edwin Encarnacion 3B Alex Bregman 2B Jose Altuve OF Ramón Laureano OF Josh Reddick C Martín Maldonado SS Marwin González OF Rosell Herrera,,Charlie Blackmon,OF,16.42%,9
11,1156429349,hardhatman (1/10),0,148.65,P Clayton Kershaw P Robbie Ray OF Khris Davis 3B Matt Chapman OF Corey Dickerson OF Ramón Laureano SS Marwin González 1B Lucas Duda 2B Logan Forsythe C Jonathan Lucroy,,Matt Adams,1B,15.79%,2
13,1156246582,grand2515,0,147.5,P Clayton Kershaw P Wei-Yin Chen OF Carlos González OF Cody Bellinger 2B Travis Shaw SS Marcus Semien 3B Matt Chapman OF Marwin González 1B Chris Davis C Jonathan Lucroy,,Wei-Yin Chen,P,15.58%,32.7
13,1156429354,hardhatman (6/10),0,147.5,P Clayton Kershaw P Wei-Yin Chen OF Michael Brantley 1B Edwin Encarnacion 3B Alex Bregman SS Carlos Correa OF Ramón Laureano OF Marwin González 2B Logan Forsythe C Jonathan Lucroy,,Stephen Piscotty,OF,15.37%,0
