Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,1157036854,GigiAmmo,0,97.55,P Shane Bieber P Pablo L?pez SS Trevor Story 3B Nolan Arenado 2B DJ LeMahieu OF Juan Soto OF Carlos Gonz?lez 1B Daniel Murphy OF Billy McKinney C Roberto P?rez,,Rhys Hoskins,OF,10.71%,0
24,1157058509,jsod234,0,97.5,P Shane Bieber P Jordan Zimmermann SS Javier B?ez 1B Anthony Rizzo 2B Daniel Murphy OF Matt Holliday 3B Miguel San? OF Jason Heyward C Willson Contreras OF Jay Bruce,,Michael Conforto,OF,10.71%,0
25,1157070324,99FoolsandProphets99,0,93.25,P Chris Archer P Vince Velasquez SS Javier B?ez OF Michael Conforto C Yadier Molina 1B Daniel Murphy OF Kyle Schwarber 2B Jeff McNeil 3B David Bote OF Jay Bruce,,Daniel Palka,OF,10.71%,0
26,1157047842,jarrco,0,91.85,P Pablo L?pez 3B Nolan Arenado SS Javier B?ez OF Tyler O'Neill 1B Anthony Rizzo OF Michael Brantley OF Carlos Gonz?lez 2B Daniel Murphy C Willson Contreras P Chris Bassitt,,Omar Narv?ez,C,10.71%,0
27,1157041537,aronker,0,88,P Shane Bieber P Chris Archer 3B Nolan Arenado SS Javier B?ez 1B Daniel Murphy OF Daniel Palka C Willson Contreras OF Avisa?l Garc?a OF Billy McKinney 2B Logan Forsythe,,Chris Bassitt,P,10.71%,0
28,1157050830,matt.simon10,0,59.35,P Nathan Eovaldi P Pablo L?pez SS Trevor Story 3B Nolan Arenado 1B Anthony Rizzo 2B Daniel Murphy OF Matt Holliday C Willson Contreras OF Scott Schebler OF Jay Bruce,,Blake Snell,P,7.14%,0
,,,,,,,Chris Archer,P,7.14%,0
,,,,,,,Vince Velasquez,P,7.14%,0
,,,,,,,Nathan Eovaldi,P,7.14%,0
,,,,,,,Jordan Zimmermann,P,7.14%,0
,,,,,,,Tyler Anderson,P,7.14%,0
,,,,,,,Jos? Ram?rez,3B,7.14%,0
,,,,,,,Tyler O'Neill,OF,7.14%,0
,,,,,,,Michael Brantley,OF,7.14%,0
,,,,,,,Gregory Polanco,OF,7.14%,0
,,,,,,,Edwin Encarnacion,1B,7.14%,0
,,,,,,,Anthony Rendon,3B,7.14%,0
,,,,,,,Eugenio Su?rez,3B,7.14%,0
,,,,,,,Melky Cabrera,OF,7.14%,0
,,,,,,,Carlos Santana,1B,7.14%,0
,,,,,,,Tim Anderson,SS,7.14%,0
,,,,,,,Adam Frazier,2B,7.14%,0
,,,,,,,Matt Davidson,3B,7.14%,0
,,,,,,,David Bote,3B,7.14%,0
,,,,,,,Scott Schebler,OF,7.14%,0
,,,,,,,Jason Kipnis,2B,7.14%,0
,,,,,,,Yolmer S?nchez,3B,7.14%,0
,,,,,,,Roberto P?rez,C,7.14%,0
,,,,,,,Jos? Berr?os,P,3.57%,0
,,,,,,,Kyle Hendricks,P,3.57%,0
,,,,,,,Mookie Betts,OF,3.57%,0
,,,,,,,Khris Davis,OF,3.57%,0
,,,,,,,Charlie Blackmon,OF,3.57%,0
,,,,,,,Francisco Lindor,SS,3.57%,0
,,,,,,,Jedd Gyorko,2B,3.57%,0
,,,,,,,Harrison Bader,OF,3.57%,0
,,,,,,,DJ LeMahieu,2B,3.57%,0
,,,,,,,Freddie Freeman,1B,3.57%,0
,,,,,,,Kendrys Morales,1B,3.57%,0
,,,,,,,Ryan Zimmerman,1B,3.57%,0
,,,,,,,Paul DeJong,SS,3.57%,0
,,,,,,,Ryan Braun,OF,3.57%,0
,,,,,,,Trea Turner,SS,3.57%,0
,,,,,,,Travis Shaw,3B,3.57%,0
,,,,,,,Matt Chapman,3B,3.57%,0
,,,,,,,Juan Soto,OF,3.57%,0
,,,,,,,Yadier Molina,C,3.57%,0
,,,,,,,Miguel San?,3B,3.57%,0
,,,,,,,Yairo Mu?oz,SS,3.57%,0
