Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1140293631,fdjr716,0,163,P Edwin Jackson P Eric Lauer 3B José Ramírez SS Francisco Lindor OF Andrew Benintendi 1B Edwin Encarnacion OF Shin-soo Choo OF Michael Brantley 2B Rougned Odor C Robinson Chirinos,,Robbie Ray,P,84.11%,12.4
2,1140332307,joeyb1933,0,149.9,P Shane Bieber P Julio Teheran 3B José Ramírez SS Francisco Lindor OF A.J. Pollock 1B Matt Carpenter OF Marcell Ozuna C Tyler Flowers 2B Eduardo Núñez OF Roman Quinn,,Paul Goldschmidt,1B,73.20%,4
3,1140621572,antlope93 (3/3),0,147.35,P James Paxton P Robbie Ray 3B José Ramírez 1B Edwin Encarnacion OF Steven Souza Jr. SS Jorge Polanco OF Curtis Granderson 2B Jason Kipnis C Yan Gomes OF Greg Allen,,Tyler Flowers,C,57.08%,11
4,1140326126,zimbo5 (2/3),0,146.35,P James Paxton P Robbie Ray OF Khris Davis 1B Edwin Encarnacion OF Joc Pederson 3B Matt Chapman OF Stephen Piscotty SS Marcus Semien 2B Chase d'Arnaud C Jonathan Lucroy,,A.J. Pollock,OF,50.00%,3
5,1140284928,ApollosFist (1/3),0,145.9,P Robbie Ray P Carlos Martínez 3B José Ramírez OF A.J. Pollock 1B Paul Goldschmidt SS Jorge Polanco OF Stephen Piscotty 2B Jedd Gyorko C Tyler Flowers OF Nick Martini,,Steven Souza Jr.,OF,34.34%,18
5,1140284932,ApollosFist (2/3),0,145.9,P Robbie Ray P Carlos Martínez 3B José Ramírez OF A.J. Pollock 1B Paul Goldschmidt SS Jorge Polanco OF Stephen Piscotty 2B Jedd Gyorko C Tyler Flowers OF Nick Martini,,José Ramírez,3B,27.61%,35
5,1140284933,ApollosFist (3/3),0,145.9,P Robbie Ray P Carlos Martínez 3B José Ramírez OF A.J. Pollock 1B Paul Goldschmidt SS Jorge Polanco OF Stephen Piscotty 2B Jedd Gyorko C Tyler Flowers OF Nick Martini,,Ronald Acuña Jr.,OF,25.75%,14
5,1140351468,sabercat1 (1/3),0,145.9,P Robbie Ray P Carlos Martínez 3B José Ramírez OF A.J. Pollock 1B Paul Goldschmidt SS Jorge Polanco OF Stephen Piscotty 2B Jedd Gyorko C Tyler Flowers OF Nick Martini,,Francisco Lindor,SS,25.06%,15
5,1140351472,sabercat1 (2/3),0,145.9,P Robbie Ray P Carlos Martínez 3B José Ramírez OF A.J. Pollock 1B Paul Goldschmidt SS Jorge Polanco OF Stephen Piscotty 2B Jedd Gyorko C Tyler Flowers OF Nick Martini,,Dee Gordon,2B,24.94%,0
5,1140360991,sabercat1 (3/3),0,145.9,P Robbie Ray P Carlos Martínez 3B José Ramírez OF A.J. Pollock 1B Paul Goldschmidt SS Jorge Polanco OF Stephen Piscotty 2B Jedd Gyorko C Tyler Flowers OF Nick Martini,,Eric Lauer,P,24.71%,5.85
11,1140537569,eric.morris,0,143.9,P Robbie Ray P Carlos Martínez 3B José Ramírez 1B Edwin Encarnacion OF Wil Myers OF Hunter Renfroe SS Johan Camargo OF Manuel Margot C Tyler Flowers 2B Chase d'Arnaud,,Chase d'Arnaud,2B,23.32%,18
12,1140328131,collects10 (1/3),0,143.55,P Robbie Ray P Edwin Jackson 3B José Ramírez OF J.D. Martinez OF Khris Davis 1B Freddie Freeman 2B Jed Lowrie SS Marcus Semien C Tyler Flowers OF Nick Martini,,Nick Martini,OF,22.62%,12
12,1140337384,collects10 (2/3),0,143.55,P Robbie Ray P Edwin Jackson 3B José Ramírez OF J.D. Martinez OF Khris Davis 1B Freddie Freeman 2B Jed Lowrie SS Marcus Semien C Tyler Flowers OF Nick Martini,,Carlos Martínez,P,22.27%,21.5
12,1140337386,collects10 (3/3),0,143.55,P Robbie Ray P Edwin Jackson 3B José Ramírez OF J.D. Martinez OF Khris Davis 1B Freddie Freeman 2B Jed Lowrie SS Marcus Semien C Tyler Flowers OF Nick Martini,,Eduardo Escobar,3B,19.95%,10
12,1140540000,4th_nGoal (1/3),0,143.55,P Robbie Ray P Edwin Jackson 3B José Ramírez OF J.D. Martinez OF Khris Davis 1B Freddie Freeman 2B Jed Lowrie SS Marcus Semien C Tyler Flowers OF Nick Martini,,Jorge Polanco,SS,19.84%,7
16,1140337769,irishpapaof3 (3/3),0,142.4,P James Paxton P Martín Pérez 3B José Ramírez SS Francisco Lindor OF Michael Brantley 1B Yonder Alonso OF Joc Pederson OF Manuel Margot 2B Jedd Gyorko C Tyler Flowers,,Kenta Maeda,P,19.26%,4.5
17,1140333290,macjohnny83 (1/3),0,139.05,P Robbie Ray P Derek Holland 3B José Ramírez SS Francisco Lindor 1B Paul Goldschmidt OF Chris Taylor OF Steven Souza Jr. C Tyler Flowers OF Nick Martini 2B Chase d'Arnaud,,Ozzie Albies,2B,18.79%,0
17,1140342221,macjohnny83 (2/3),0,139.05,P Robbie Ray P Derek Holland 3B José Ramírez SS Francisco Lindor 1B Paul Goldschmidt OF Chris Taylor OF Steven Souza Jr. C Tyler Flowers OF Nick Martini 2B Chase d'Arnaud,,Michael Brantley,OF,18.68%,0
17,1140342230,macjohnny83 (3/3),0,139.05,P Robbie Ray P Derek Holland 3B José Ramírez SS Francisco Lindor 1B Paul Goldschmidt OF Chris Taylor OF Steven Souza Jr. C Tyler Flowers OF Nick Martini 2B Chase d'Arnaud,,Mike Moustakas,3B,13.11%,2
20,1140588626,ty1112 (1/2),0,137.15,P Carlos Martínez P Derek Holland 3B José Ramírez OF J.D. Martinez OF Michael Brantley 1B Freddie Freeman SS Jorge Polanco OF Stephen Piscotty 2B Eduardo Núñez C Sandy Leon,,Marcell Ozuna,OF,12.41%,18
20,1140588649,ty1112 (2/2),0,137.15,P Carlos Martínez P Derek Holland 3B José Ramírez OF J.D. Martinez OF Michael Brantley 1B Freddie Freeman SS Jorge Polanco OF Stephen Piscotty 2B Eduardo Núñez C Sandy Leon,,Johan Camargo,3B,11.60%,14
22,1140459241,vevwo,0,137,P David Price P Robbie Ray 3B José Ramírez SS Francisco Lindor 1B Paul Goldschmidt OF Steven Souza Jr. 2B Jason Kipnis OF Nick Martini C Yan Gomes OF Greg Allen,,Jed Lowrie,2B,10.56%,11
23,1140326862,redraiderbt (1/3),0,136.55,P Robbie Ray P Edwin Jackson 3B José Ramírez OF A.J. Pollock OF Khris Davis 1B Paul Goldschmidt 2B Jed Lowrie SS Johan Camargo C Tyler Flowers OF Nick Martini,,Wil Myers,OF,10.09%,0
23,1140336309,redraiderbt (2/3),0,136.55,P Robbie Ray P Edwin Jackson 3B José Ramírez OF A.J. Pollock OF Khris Davis 1B Paul Goldschmidt 2B Jed Lowrie SS Johan Camargo C Tyler Flowers OF Nick Martini,,Khris Davis,OF,9.51%,11
23,1140336316,redraiderbt (3/3),0,136.55,P Robbie Ray P Edwin Jackson 3B José Ramírez OF A.J. Pollock OF Khris Davis 1B Paul Goldschmidt 2B Jed Lowrie SS Johan Camargo C Tyler Flowers OF Nick Martini,,Jedd Gyorko,2B,9.40%,19
26,1140418586,Knucklebabies,0,134.9,P Shane Bieber P Julio Teheran 3B José Ramírez SS Francisco Lindor OF A.J. Pollock 1B Paul Goldschmidt OF Steven Souza Jr. OF Nick Martini 2B Chase d'Arnaud C Mike Zunino,,John Ryan Murphy,C,9.16%,0
