Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1143793252,whycuz22,0,157.45,P Danny Duffy P Julio Teheran SS Jurickson Profar OF Ronald Acuña Jr. OF Mallex Smith 1B Jake Bauers 2B Jonathan Villar C Yadier Molina OF Mark Trumbo 3B Christian Villanueva,,Aaron Nola,P,29.26%,8.1
2,1143863734,Zalesky3 (3/10),0,149.9,P Jon Gray P Jack Flaherty SS Francisco Lindor OF Michael Brantley 2B Jonathan Villar OF Mark Trumbo 3B Tim Beckham OF Kyle Schwarber 1B Ronald Guzmán C Austin Hedges,,Julio Teheran,P,28.63%,13.35
3,1143706231,jgAllDay (9/10),0,147.9,P Jon Gray P Jack Flaherty 2B Rougned Odor 1B Joey Gallo SS Elvis Andrus OF Hunter Renfroe 3B Christian Villanueva OF Manuel Margot C Austin Hedges OF Franmil Reyes,,Michael Brantley,OF,20.21%,4
4,1143790470,botobrody (5/10),0,143.9,P Jon Gray P Jack Flaherty 2B Javier Báez 1B Freddie Freeman OF Hunter Renfroe 3B Christian Villanueva OF Manuel Margot SS Addison Russell C Austin Hedges OF Franmil Reyes,,Danny Duffy,P,19.16%,8.1
5,1143912971,turkaintsogreat (2/3),0,141.9,P Danny Duffy 3B José Ramírez SS Francisco Lindor 2B Whit Merrifield OF Nick Markakis C Yadier Molina OF Kyle Schwarber 1B Lucas Duda OF Leury García P Dan Straily,,Jon Gray,P,18.11%,28.4
6,1143809999,whoisjohngalt420 (4/10),0,141.45,P Julio Teheran P James Shields 3B José Ramírez SS Francisco Lindor OF Shohei Ohtani 1B Yonder Alonso 2B Jonathan Villar OF Trey Mancini OF Hunter Renfroe C Austin Hedges,,Rhys Hoskins,OF,17.26%,0
7,1143876946,Detonator44 (2/3),0,141.05,P Tanner Roark P Jack Flaherty OF Shin-soo Choo OF Juan Soto 2B DJ LeMahieu OF Ender Inciarte 3B Mike Moustakas 1B Lucas Duda C Francisco Arcia SS Greg Garcia,,Austin Hedges,C,17.26%,7
8,1143855280,nearthewall,0,140.9,P Jon Gray P Jack Flaherty 3B José Ramírez SS Francisco Lindor OF Shohei Ohtani OF Manuel Margot OF Eric Young Jr. 1B Eric Hosmer 2B José Pirela C Austin Hedges,,David Bote,2B,17.26%,8
9,1143826258,bhodgman (5/7),0,139.9,P Shane Bieber P Ervin Santana 3B José Ramírez SS Jurickson Profar 1B Edwin Encarnacion 2B César Hernández OF Nick Williams OF Mark Trumbo OF Hunter Renfroe C Kurt Suzuki,,Shane Bieber,P,16.63%,21.95
10,1143799660,penninop (6/10),0,137.45,P Aaron Nola P Julio Teheran 3B José Ramírez 1B Miguel Sanó OF Mark Trumbo OF Robbie Grossman C Francisco Arcia 2B Logan Forsythe OF Jake Cave SS Ehire Adrianza,,Javier Báez,2B,16.42%,21
