Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1155408201,subpar84,0,191.75,P Sean Newcomb P Danny Duffy OF Khris Davis OF Ronald Acuña Jr. 1B Anthony Rizzo SS Javier Báez 3B Matt Chapman 2B Whit Merrifield OF Alex Gordon C Victor Caratini,,Sean Newcomb,P,52.14%,29.9
2,1155039344,jf1962,0,189.65,P Cole Hamels P Sean Newcomb SS Javier Báez 3B Matt Chapman 1B Matt Olson 2B Daniel Murphy OF Mallex Smith OF Jake Bauers OF Alex Gordon C Victor Caratini,,Tyler Glasnow,P,50.63%,16.45
2,1155435856,SnoozDude,0,189.65,P Cole Hamels P Sean Newcomb SS Javier Báez 3B Matt Chapman 1B Matt Olson 2B Daniel Murphy OF Mallex Smith OF Jake Bauers OF Alex Gordon C Victor Caratini,,Khris Davis,OF,46.85%,14
2,1155440612,traviesoj23,0,189.65,P Cole Hamels P Sean Newcomb SS Javier Báez 3B Matt Chapman 1B Matt Olson 2B Daniel Murphy OF Mallex Smith OF Jake Bauers OF Alex Gordon C Victor Caratini,,Daniel Murphy,2B,42.85%,8
5,1155443226,Chadalac11,0,186.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo 2B Javier Báez OF Ben Zobrist SS Johan Camargo OF Ender Inciarte OF Ian Happ 3B Matt Duffy C Jonathan Lucroy,,Javier Báez,2B,38.56%,31
6,1155553174,AnonymousApathy,0,184.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo SS Javier Báez 2B Daniel Murphy OF Mallex Smith C Salvador Perez OF Nick Martini 3B Matt Duffy OF Alex Gordon,,Ronald Acuña Jr.,OF,33.39%,16
7,1155366779,MurryNikki6199,0,183.75,P Sean Newcomb P Danny Duffy OF Khris Davis OF Ronald Acuña Jr. 1B Anthony Rizzo SS Javier Báez 3B Matt Chapman 2B Daniel Murphy OF Alex Gordon C Victor Caratini,,Trevor Cahill,P,31.46%,-0.75
8,1155118921,andrealking2,0,183.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo SS Javier Báez 2B Daniel Murphy OF Mallex Smith OF Ian Happ OF Jake Bauers C Victor Caratini 3B Logan Forsythe,,Matt Chapman,3B,30.19%,10
9,1155529979,kozy23,0,179.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo SS Javier Báez OF Kyle Schwarber 2B Daniel Murphy OF Ender Inciarte OF Jake Bauers 3B Matt Duffy C Victor Caratini,,Jonathan Lucroy,C,28.93%,0
10,1155431466,anotherusername,0,176.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo 2B Javier Báez SS José Peraza OF Nick Markakis 3B Johan Camargo C Salvador Perez OF Alex Gordon OF Rosell Herrera,,Kyle Schwarber,OF,28.47%,0
10,1155433861,larryd61,0,176.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo SS Javier Báez OF Nick Markakis 2B Daniel Murphy 3B Johan Camargo OF Ender Inciarte C Victor Caratini OF Rosell Herrera,,Danny Duffy,P,27.96%,15.85
12,1154957441,BPalaz,0,175.65,P Cole Hamels P Sean Newcomb SS Javier Báez 1B Matt Olson 2B Daniel Murphy OF Whit Merrifield 3B Johan Camargo OF Stephen Piscotty OF Alex Gordon C Tyler Flowers,,Johan Camargo,SS,24.73%,13
12,1155149356,Hammer74,0,175.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo SS Javier Báez 2B Daniel Murphy OF Whit Merrifield OF Ender Inciarte OF Ian Happ 3B David Bote C Jonathan Lucroy,,Cole Hamels,P,24.39%,32.75
14,1154997406,jgAllDay,0,173.65,P Cole Hamels P Sean Newcomb 1B Anthony Rizzo SS Javier Báez OF Kyle Schwarber 2B Daniel Murphy OF Mallex Smith OF Ian Happ 3B Matt Duffy C Jesús Sucre,,Anthony Rizzo,1B,23.84%,25
