Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1142214205,splifstar23 (2/8),0,251.95,P Brian Johnson OF Mookie Betts OF J.D. Martinez SS Trea Turner OF Andrew Benintendi 2B Ian Kinsler 3B Anthony Rendon 1B Steve Pearce C Buster Posey P Pablo López,,Nick Pivetta,P,31.19%,21.1
2,1142135409,jordan2327,0,246.55,P Nick Pivetta P Brian Johnson OF Mookie Betts OF J.D. Martinez 2B Ian Kinsler C Yasmani Grandal 1B Steve Pearce OF Cody Bellinger 3B Justin Turner SS Brandon Crawford,,Max Scherzer,P,22.59%,29.9
3,1142139840,randlan (1/20),0,242.6,P Nick Pivetta OF Mookie Betts OF J.D. Martinez 2B Rougned Odor OF Andrew Benintendi 1B Steve Pearce 3B Eduardo Núñez SS Dansby Swanson C Austin Hedges P Pablo López,,Tim Beckham,SS,21.44%,9
4,1142394552,Mokigarim (2/20),0,241.6,P Nick Pivetta SS Manny Machado 2B Rougned Odor C Yasmani Grandal 1B Joey Gallo OF Nelson Cruz OF Joc Pederson OF Cody Bellinger 3B Justin Turner P Pablo López,,Zack Greinke,P,20.10%,16.5
5,1142228152,tbarf8997 (17/20),0,241.35,P Max Scherzer P Robbie Erlin 2B Rougned Odor OF Ronald Acuña Jr. SS Elvis Andrus 3B Johan Camargo 1B Steve Pearce OF Manuel Margot OF Trey Mancini C Austin Hedges,,Jonathan Villar,2B,19.76%,8
6,1142288281,Yellowhammer75 (1/2),0,239.45,P Yovani Gallardo P Félix Hernández OF Mookie Betts OF J.D. Martinez 2B Rougned Odor 3B Anthony Rendon SS Jurickson Profar OF Joey Gallo 1B Steve Pearce C Austin Hedges,,Tyler Flowers,C,19.71%,0
7,1142399696,cch07 (9/11),0,238.5,P Félix Hernández P Brian Johnson OF Mookie Betts OF J.D. Martinez SS Didi Gregorius OF Andrew Benintendi 2B Ian Kinsler C Willson Contreras 1B Steve Pearce 3B Evan Longoria,,Félix Hernández,P,19.17%,7.05
8,1142395359,mnmoneygrab (6/20),0,237.75,P Max Scherzer P Jason Vargas OF Giancarlo Stanton 2B Rougned Odor OF Joey Gallo OF Steve Pearce SS Tim Beckham 1B Justin Bour 3B Eduardo Núñez C Austin Hedges,,Giancarlo Stanton,OF,18.29%,21
9,1142394560,Mokigarim (10/20),0,236.6,P Nick Pivetta SS Manny Machado 2B Rougned Odor OF Ronald Acuña Jr. C Yasmani Grandal 1B Joey Gallo OF Yasiel Puig OF Cody Bellinger 3B Justin Turner P Pablo López,,Ronald Acuña Jr.,OF,17.62%,22
10,1142384031,steemkatz (18/20),0,236.55,P Nick Pivetta P Robbie Erlin OF Mookie Betts OF J.D. Martinez OF Giancarlo Stanton 2B Ian Kinsler SS Jurickson Profar 1B Steve Pearce 3B Eduardo Núñez C Austin Romine,,Shin-soo Choo,OF,15.48%,12
10,1142428663,Gobluedp (7/20),0,236.55,P Nick Pivetta P Robbie Erlin OF Mookie Betts OF Rhys Hoskins OF Andrew Benintendi 2B Ian Kinsler C Yasmani Grandal SS Elvis Andrus 1B Steve Pearce 3B Eduardo Núñez,,Mark Trumbo,OF,14.80%,18
12,1142208549,guru5050 (16/20),0,234.35,P Clayton Kershaw P Félix Hernández C Yasmani Grandal OF Joc Pederson OF Yasiel Puig 1B Steve Pearce OF Cody Bellinger SS Tim Beckham 3B Justin Turner 2B Jonathan Villar,,Steve Pearce,1B,14.75%,50
13,1142394505,Mokigarim (1/20),0,233.6,P Nick Pivetta SS Manny Machado 2B Rougned Odor OF Ronald Acuña Jr. C Yasmani Grandal 1B Joey Gallo OF Joc Pederson OF Cody Bellinger 3B Justin Turner P Pablo López,,Adrián Beltré,3B,14.72%,10
14,1142128459,dizzel03 (4/6),0,233.55,P Nick Pivetta P Brian Johnson OF Mookie Betts OF J.D. Martinez 2B Ian Kinsler OF Joey Gallo 1B Steve Pearce 3B Maikel Franco SS Tim Beckham C Tyler Flowers,,Johan Camargo,SS,14.14%,9
15,1142171371,shorty12pint (1/3),0,232.65,P Mike Montgomery P Brian Johnson OF Mookie Betts OF Shin-soo Choo 2B Rougned Odor C Yasmani Grandal 1B Joey Gallo SS Elvis Andrus OF Steve Pearce 3B Adrián Beltré,,Bryce Harper,OF,14.01%,25
16,1142394570,Mokigarim (20/20),0,232.6,P Nick Pivetta OF Giancarlo Stanton C Yasmani Grandal 1B Joey Gallo OF Joc Pederson SS Elvis Andrus 3B Max Muncy 2B Brian Dozier OF Cody Bellinger P Pablo López,,Mike Foltynewicz,P,13.56%,19.9
17,1142185334,prostock_55,0,232.55,P Nick Pivetta P Brian Johnson OF Mookie Betts OF J.D. Martinez OF Bryce Harper 2B Ian Kinsler 1B Steve Pearce SS Ketel Marte 3B Evan Longoria C Tucker Barnhart,,Joey Gallo,1B,12.41%,30
18,1142234057,BeltWieldindad (1/20),0,231.55,P Nick Pivetta P Brian Johnson OF Mookie Betts 2B Rougned Odor OF Ronald Acuña Jr. C Yasmani Grandal SS Elvis Andrus OF Willie Calhoun 1B Cody Bellinger 3B Justin Turner,,Mike Montgomery,P,11.94%,9.2
19,1142165189,sellout075 (4/20),0,230.55,P Nick Pivetta P Brian Johnson OF Mookie Betts OF J.D. Martinez SS Trea Turner OF Andrew Benintendi 1B Steve Pearce 2B Eduardo Núñez C Tyler Flowers 3B Kyle Seager,,Chris Davis,1B,11.77%,9
19,1142225204,KPickDKings (1/4),0,230.55,P Nick Pivetta P Brian Johnson OF Mookie Betts OF J.D. Martinez 2B Ian Kinsler SS Jurickson Profar 1B Steve Pearce OF Cameron Maybin 3B Eduardo Núñez C Buster Posey,,Cody Bellinger,OF,11.76%,29
21,1142176934,Boo2654 (10/20),0,229.4,P Clayton Kershaw P Nick Pivetta OF Joey Gallo OF Joc Pederson 2B Brian Dozier OF Cody Bellinger 3B Justin Turner 1B Wilmer Flores C Austin Hedges SS José Reyes,,Elvis Andrus,SS,11.47%,21
