Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1156632528,Dex.J (3/6),0,193.5,P Clayton Kershaw P Wei-Yin Chen 3B Justin Turner 1B Max Muncy SS Alex Bregman 2B Jose Altuve OF Josh Reddick OF Marwin González OF Mark Canha C Jonathan Lucroy,,Clayton Kershaw,P,27.02%,27.8
2,1156486149,CurtSteelz (4/4),0,186.65,P Clayton Kershaw P Sonny Gray 1B Edwin Encarnacion OF Gregory Polanco 2B Jose Altuve OF Ramón Laureano OF Rafael Ortega SS Marwin González 3B Colin Moran C Jonathan Lucroy,,Matt Chapman,3B,24.24%,11
3,1156391067,TeddyBearSuicide,0,185.9,P Mike Fiers P German Márquez 3B Justin Turner 2B DJ LeMahieu OF Gregory Polanco OF Lorenzo Cain OF Mitch Haniger 1B Yuli Gurriel SS Marwin González C Jonathan Lucroy,,Jonathan Lucroy,C,23.78%,23
4,1156394589,jbottoms0303 (7/20),0,181.5,P Clayton Kershaw P Wei-Yin Chen SS Manny Machado 3B Max Muncy OF Cody Bellinger OF Yasiel Puig 1B Tyler White OF Marwin González 2B Chad Pinder C Jonathan Lucroy,,Aníbal Sánchez,P,22.12%,11.15
4,1156404535,jbottoms0303 (18/20),0,181.5,P Clayton Kershaw P Wei-Yin Chen SS Manny Machado 3B Max Muncy OF Cody Bellinger OF Yasiel Puig 1B Tyler White OF Marwin González 2B Chad Pinder C Jonathan Lucroy,,Marwin González,OF,21.66%,25
6,1156615358,cococopuffs23 (2/20),0,180.9,P Mike Fiers P German Márquez OF Charlie Blackmon OF David Dahl 3B Alex Bregman 2B Jose Altuve 1B Yuli Gurriel OF Josh Reddick SS Marwin González C Jonathan Lucroy,,Robbie Ray,P,21.36%,17.85
7,1156670175,cpwade0131 (3/4),0,179.55,P Sonny Gray P Wei-Yin Chen OF Christian Yelich 3B Justin Turner SS Manny Machado 1B Max Muncy OF Cody Bellinger OF Mitch Haniger 2B Brian Dozier C Jonathan Lucroy,,Corey Kluber,P,20.69%,7.4
8,1156318607,LethargicLinemen (18/20),0,179.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon 1B Max Muncy 2B DJ LeMahieu 3B Matt Chapman SS Marwin González OF Chad Pinder OF Craig Gentry C Jonathan Lucroy,,Matt Adams,1B,18.20%,2
9,1156513354,Cleofus2 (2/6),0,178.15,P Clayton Kershaw P German Márquez 3B Max Muncy 2B Jose Altuve OF Melky Cabrera 1B Yonder Alonso OF Trey Mancini SS Marwin González OF Jake Cave C Jonathan Lucroy,,Khris Davis,OF,17.83%,0
10,1156337738,JNumbaNC,0,177.9,P Mike Fiers P German Márquez OF Christian Yelich 3B Alex Bregman 2B Jose Altuve 1B Yuli Gurriel SS Carlos Correa OF Rafael Ortega OF Marwin González C Jonathan Lucroy,,Logan Forsythe,2B,15.61%,5
11,1156239539,UnlocKing (20/20),0,177.85,P Jameson Taillon P German Márquez OF Giancarlo Stanton OF Aaron Hicks 3B Alex Bregman 2B Jose Altuve 1B Yuli Gurriel OF Josh Reddick SS Marwin González C Austin Hedges,,Stephen Piscotty,OF,15.26%,0
12,1156680915,Weirsy99 (5/20),0,177.5,P Clayton Kershaw P Wei-Yin Chen 3B Justin Turner SS Manny Machado 1B Max Muncy 2B Brian Dozier OF Chris Taylor OF Marwin González OF Craig Gentry C Jonathan Lucroy,,Wei-Yin Chen,P,14.91%,32.7
13,1156643639,jae777 (5/6),0,177.2,P German Márquez P Sonny Gray OF Charlie Blackmon OF Brett Gardner 3B Max Muncy SS Alex Bregman OF Mitch Haniger 2B Whit Merrifield 1B Joe Mauer C Jonathan Lucroy,,Mike Fiers,P,14.84%,24.55
