Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
19,1140092996,alexdiaz10,0,161.45,P Marco Gonzales P Clay Buchholz OF Mike Trout 1B Paul Goldschmidt 2B Ian Kinsler OF Justin Upton OF Ryan Braun C Buster Posey 3B David Fletcher SS Orlando Arcia,,David Fletcher,3B,16.06%,10
24,1139798194,fitparrothead,0,160.55,P Junior Guerra P Clay Buchholz OF Christian Yelich OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed 3B Mike Moustakas 2B Hernán Pérez C Buster Posey OF Ben Gamel,,Wil Myers,OF,16.04%,12
25,1140019758,GG_Jay (1/2),0,160.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt OF Denard Span SS Ketel Marte 2B Dee Gordon 3B Kyle Seager C Mike Zunino OF Ben Gamel,,Ryan Braun,1B,16.02%,16
25,1140028640,GG_Jay (2/2),0,160.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt OF Denard Span SS Ketel Marte 2B Dee Gordon 3B Kyle Seager C Mike Zunino OF Ben Gamel,,Justin Upton,OF,15.92%,26
27,1139653490,DFSplash (15/20),0,159.45,P Clay Buchholz P Andrew Suárez OF A.J. Pollock 1B Paul Goldschmidt OF Mitch Haniger OF Justin Upton 2B Dee Gordon SS Andrelton Simmons C Buster Posey 3B David Fletcher,,Manny Piña,C,15.04%,6
27,1140073680,DPOW,0,159.45,P Marco Gonzales P Clay Buchholz OF Mike Trout 1B Paul Goldschmidt SS Nick Ahmed OF Nelson Cruz 2B Dee Gordon OF Ben Gamel 3B David Fletcher C Manny Piña,,David Peralta,OF,14.56%,2
29,1139663031,Datclown (1/8),0,158.55,P Junior Guerra P Clay Buchholz 1B Paul Goldschmidt OF Wil Myers SS Nick Ahmed OF Lorenzo Cain OF Justin Upton 2B Dee Gordon C Buster Posey 3B Pablo Sandoval,,Nick Ahmed,SS,13.36%,22
30,1140070965,BIGELVIS (10/20),0,158.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Jean Segura OF Denard Span OF David Peralta 2B Dee Gordon C Mike Zunino OF Ben Gamel 3B David Fletcher,,Albert Pujols,1B,12.63%,5
31,1139707142,elwa7 (2/2),0,158.3,P Marco Gonzales P Junior Guerra OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed OF Dee Gordon 2B Hernán Pérez 3B Kyle Seager C Mike Zunino OF Ben Gamel,,Brandon Crawford,SS,12.07%,6
32,1140079505,zack1288 (1/2),0,157.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura OF Denard Span 2B Dee Gordon C Buster Posey 3B David Fletcher,,John Ryan Murphy,C,11.73%,0
33,1139769493,SmackTalker,0,156.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Jesús Aguilar 2B Ketel Marte OF Justin Upton SS Andrelton Simmons C Buster Posey OF Ben Gamel 3B David Fletcher,,Mitch Haniger,OF,11.59%,11
33,1139816554,Billdo347,0,156.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt OF Nelson Cruz 2B Dee Gordon OF Ryan Braun SS Brandon Crawford C Buster Posey 3B David Fletcher,,Hernán Pérez,OF,11.28%,17
33,1140060951,chrisiwin,0,156.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock OF Nelson Cruz OF Justin Upton 3B Mike Moustakas 2B Dee Gordon 1B Ryan Braun SS Brandon Crawford C Buster Posey,,Evan Longoria,3B,9.84%,9
33,1140069409,ToMakeEndsMeet,0,156.45,P Marco Gonzales P Clay Buchholz OF Christian Yelich 1B Paul Goldschmidt 2B Dee Gordon OF Ryan Braun SS Brandon Crawford OF Hernán Pérez C Buster Posey 3B Evan Longoria,,Ryon Healy,1B,7.93%,4
33,1140070628,tinezthegreat414 (2/3),0,156.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF Christian Yelich 1B Paul Goldschmidt SS Nick Ahmed 2B Ian Kinsler OF Justin Upton C Buster Posey 3B David Fletcher,,Andrew McCutchen,OF,7.84%,7
