Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,1138998975,bellfree18,0,116,P Zack Greinke P Ivan Nova OF Mike Trout 3B Alex Bregman 1B Anthony Rizzo OF Nick Williams OF Curtis Granderson 2B Lourdes Gurriel Jr. C Tucker Barnhart SS Marwin González,,Rhys Hoskins,OF,11.29%,10
25,1139002826,NYGFan56,0,113.75,P Chris Sale P Ivan Nova 3B José Ramírez SS Francisco Lindor OF Michael Brantley 1B Edwin Encarnacion 2B Eduardo Núñez OF Mason Williams OF Carlos Tocci C Sandy Leon,,Max Scherzer,P,11.29%,41
26,1139001527,dws0220,0,112.35,P Zack Greinke P Marcus Stroman 2B Javier Báez 1B Paul Goldschmidt OF Matt Adams OF Nelson Cruz OF Josh Reddick 3B Maikel Franco C Buster Posey SS José Iglesias,,Marcus Stroman,P,9.68%,16.2
27,1138993304,crazyivan24,0,112,P Chris Sale P Chase Anderson 3B Nolan Arenado OF Giancarlo Stanton 1B Greg Bird OF Mitch Haniger OF Curtis Granderson SS Paul DeJong 2B Jeff McNeil C Sandy Leon,,Joc Pederson,OF,9.68%,0
27,1138994874,macram5127,0,112,P Zack Greinke P Mike Foltynewicz 1B Freddie Freeman OF Shin-soo Choo 3B Brian Anderson SS Paul DeJong OF Nick Markakis 2B Ian Kinsler OF Max Kepler C Tucker Barnhart,,J.D. Martinez,OF,9.68%,3
27,1139016411,ZRION,0,112,P Chris Sale P Chase Anderson 3B Nolan Arenado OF Giancarlo Stanton 1B Greg Bird OF Mitch Haniger OF Curtis Granderson SS Paul DeJong 2B Jeff McNeil C Sandy Leon,,Eduardo Núñez,2B,9.68%,10
30,1139004207,cowboybloodbath,0,110.7,P Max Scherzer P Luke Weaver OF Joc Pederson OF Nelson Cruz SS Jurickson Profar 1B Cody Bellinger 2B Neil Walker 3B Adrián Beltré OF Marwin González C Omar Narváez,,Greg Bird,1B,9.68%,0
31,1138988353,drew_barmore32,0,110.15,P Chris Sale P Luis Perdomo SS Marcus Semien OF Michael Brantley 1B Edwin Encarnacion OF Joc Pederson 3B Matt Chapman OF Curtis Granderson 2B Lourdes Gurriel Jr. C Jonathan Lucroy,,Aaron Hicks,OF,9.68%,0
32,1139000319,JGiles9,0,107,P Chris Sale P Chase Anderson 3B Eugenio Suárez SS Trea Turner OF Josh Reddick 1B Yuli Gurriel C Evan Gattis 2B Jason Kipnis OF Melky Cabrera OF Tyler Naquin,,Mike Zunino,C,9.68%,19
33,1138988859,KillerBrew,0,103.45,P Chris Sale P Pablo López OF Mike Trout 1B Justin Smoak OF Curtis Granderson SS Paul DeJong 2B Ian Kinsler C Max Stassi OF Marwin González 3B David Fletcher,,Noel Cuevas,OF,9.68%,5
34,1138958106,bdeas1975,0,103.05,P Chris Sale P Zack Greinke OF Matt Kemp SS Paul DeJong OF Ryan Rua 2B Eduardo Núñez C Max Stassi OF Marwin González 1B Victor Caratini 3B David Fletcher,,Jed Lowrie,2B,8.06%,7
35,1138971494,thurmj33,0,103,P Chris Sale P Chase Anderson SS Francisco Lindor 1B Justin Smoak 3B Matt Chapman OF Aaron Hicks 2B Gleyber Torres OF Albert Almora Jr. OF Marwin González C Sandy Leon,,Rafael Devers,3B,8.06%,14
