Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1141641969,El_Capitan (1/3),0,152.05,P Chase Anderson P Nick Tropeano SS Javier Báez OF Charlie Blackmon OF Justin Upton C Willson Contreras OF Lorenzo Cain 1B Jake Bauers 3B Mike Moustakas 2B Brian Dozier,,Rich Hill,P,45.05%,15.3
2,1141503999,HammerDFS (2/2),0,150.95,P Rich Hill P Cole Hamels 2B Ben Zobrist 1B Anthony Rizzo C Yadier Molina SS Paul DeJong OF Kole Calhoun OF Kevin Kiermaier 3B Yolmer Sánchez OF Alex Gordon,,Luke Weaver,P,33.68%,3.8
2,1141654258,penninop (4/10),0,150.95,P Rich Hill P Cole Hamels C Yasmani Grandal OF Joc Pederson 1B José Abreu SS Paul DeJong OF Cody Bellinger 3B Matt Duffy OF Rosell Herrera 2B Brian Dozier,,Manny Machado,SS,31.37%,2
4,1141648865,El_Capitan (3/3),0,149.6,P Cole Hamels P Dylan Covey 2B Javier Báez 3B Nolan Arenado 1B Matt Carpenter OF Gregory Polanco C Willson Contreras OF Yasiel Puig SS Trevor Story OF Alex Gordon,,Yolmer Sánchez,3B,28.21%,5
5,1141662001,hersheltv (6/10),0,147.95,P Rich Hill P Cole Hamels SS Javier Báez OF Kyle Schwarber OF Ian Happ 2B Yoán Moncada OF Kole Calhoun 1B Jake Bauers 3B Yolmer Sánchez C Michael Pérez,,Mike Trout,OF,26.74%,7
6,1141543996,jd197305,0,146.65,P Rich Hill P Jakob Junis SS Javier Báez 3B Matt Carpenter C Salvador Perez 1B Ryan O'Hearn OF Kevin Kiermaier OF Rosell Herrera OF Alex Gordon 2B Brian Dozier,,Yoán Moncada,2B,26.11%,23
7,1141374560,abragmania (9/10),0,145.45,P Cole Hamels P Luke Weaver 3B Matt Carpenter C Yasmani Grandal OF Joc Pederson SS Paul DeJong 1B José Martínez OF Cody Bellinger OF Harrison Bader 2B Brian Dozier,,José Abreu,1B,24.21%,11
8,1141369485,SteelerGal99,0,144.6,P Cole Hamels 2B Javier Báez 1B Anthony Rizzo C Willson Contreras OF Kyle Schwarber OF Tommy Pham SS Yairo Muñoz OF Jake Bauers 3B Mike Moustakas P Tyler Glasnow,,Cole Hamels,P,23.16%,29.65
9,1141345974,botobrody (1/5),0,143.45,P Kyle Freeland P Cole Hamels SS Manny Machado C Yasmani Grandal OF Joc Pederson 1B José Abreu OF Kole Calhoun OF Cody Bellinger 3B Yolmer Sánchez 2B Brian Dozier,,Kole Calhoun,OF,22.32%,18
10,1141345976,botobrody (3/5),0,143.2,P Cole Hamels P Nick Tropeano SS Javier Báez 1B Anthony Rizzo OF Joc Pederson C Willson Contreras OF Ian Happ OF Jason Heyward 2B Yoán Moncada 3B Yolmer Sánchez,,Salvador Perez,C,20.63%,7
10,1141699027,BadPuppy (8/10),0,143.2,P Cole Hamels P Nick Tropeano 2B Javier Báez 1B Anthony Rizzo 3B Nolan Arenado OF Ian Happ OF Lorenzo Cain C Yadier Molina SS Yairo Muñoz OF Kole Calhoun,,Javier Báez,SS,19.79%,16
12,1141575247,Rangers1616,0,142.1,P Rich Hill P Luke Weaver 1B Anthony Rizzo SS Manny Machado C Yasmani Grandal 2B Yoán Moncada OF Matt Kemp OF Jake Bauers 3B Yolmer Sánchez OF Alex Gordon,,Aníbal Sánchez,P,18.74%,0
