Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,1155724948,melmarco (1/3),0,135.4,P Miles Mikolas OF Nicholas Castellanos 3B Matt Chapman 2B Ozzie Albies OF Cedric Mullins OF Nick Markakis 1B Yonder Alonso SS Marwin González C Jonathan Lucroy P Mike Foltynewicz,,Ronald Acuña Jr.,OF,9.28%,5
24,1155715430,sstone01,0,134.75,P Rich Hill P Zack Godley 2B Jedd Gyorko 3B Anthony Rendon OF Starling Marte SS Carlos Correa 1B Tyler Austin OF Nick Martini OF Alex Gordon C Michael Pérez,,CC Sabathia,P,9.28%,21.3
25,1155656762,sasmallen (3/6),0,134.4,P Erasmo Ramírez SS Paul DeJong OF Rhys Hoskins 1B José Martínez 2B Brian Dozier 3B Matt Chapman OF Matt Kemp OF Andrew McCutchen C James McCann P Mike Foltynewicz,,Francisco Lindor,SS,8.86%,3
26,1155740728,penninop (2/7),0,133.25,P Rich Hill P Dallas Keuchel OF Shin-soo Choo 1B Joey Gallo OF Whit Merrifield 2B Rougned Odor 3B Jurickson Profar SS Adalberto Mondesi C Isiah Kiner-Falefa OF Alex Gordon,,Michael Brantley,OF,8.86%,10
27,1155825492,tcoker002,0,132.6,P Rich Hill P Alex Cobb 1B Matt Carpenter OF Michael Brantley 3B Justin Turner SS Manny Machado OF Tyler O'Neill 2B Brian Dozier OF Alex Gordon C James McCann,,Justin Turner,3B,8.44%,21
28,1155768077,Chunkyblue,0,131.65,P Rich Hill P Gio Gonzalez OF Tyler O'Neill 1B José Martínez C Yadier Molina 2B Brian Dozier SS Trea Turner 3B Matt Chapman OF Avisaíl García OF Alex Gordon,,Yan Gomes,C,8.44%,11
29,1155774657,Keendom,0,130.75,P Rich Hill P Zack Godley OF Nicholas Castellanos 3B Matt Chapman OF Matt Kemp 2B Gleyber Torres OF Greg Allen SS Lourdes Gurriel Jr. 1B Neil Walker C Mitch Garver,,J.D. Martinez,OF,8.44%,11
30,1155594119,cptnspaulding (5/7),0,130.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado OF Aaron Hicks OF Brett Gardner 2B Gleyber Torres 1B Neil Walker C Tony Wolters SS Ronald Torreyes,,Bryce Harper,OF,8.44%,0
31,1155650472,Nycsourdiesel,0,129.8,P Mike Clevinger P Alex Cobb SS Alex Bregman OF Carlos González 3B Justin Turner 1B Kendrys Morales 2B Travis Shaw C Martín Maldonado OF Austin Jackson OF Marwin González,,Dan Straily,P,8.44%,23.1
32,1155594115,cptnspaulding (1/7),0,127.65,P Rich Hill P Gio Gonzalez 3B Justin Turner SS Manny Machado 2B Brian Dozier OF Matt Kemp C Yasmani Grandal 1B Matt Olson OF Stephen Piscotty OF Nick Martini,,José Ramírez,3B,8.02%,7
33,1155686093,jstraight419 (4/7),0,125.2,P Mike Clevinger P Miles Mikolas OF Ronald Acuña Jr. 1B Ryan Zimmerman OF Andrew McCutchen SS Amed Rosario 3B Evan Longoria OF Marwin González C Mike Zunino 2B Devon Travis,,Nolan Arenado,3B,7.59%,19
34,1155656760,sasmallen (1/6),0,125,P Dan Straily P Alex Cobb 1B Matt Carpenter OF Charlie Blackmon 3B Nolan Arenado OF Tyler O'Neill C Yadier Molina 2B Brian Dozier SS Trea Turner OF Jake Bauers,,Giancarlo Stanton,OF,7.59%,8
34,1155656765,sasmallen (4/6),0,125,P Dan Straily P Alex Cobb 1B Matt Carpenter OF Charlie Blackmon 3B Nolan Arenado OF Tyler O'Neill C Yadier Molina 2B Brian Dozier SS Trea Turner OF Jake Bauers,,Wilson Ramos,C,7.59%,5
36,1155740730,penninop (4/7),0,124.4,P Rich Hill P Jason Vargas OF David Peralta OF Giancarlo Stanton OF A.J. Pollock 3B Miguel Andújar 2B Gleyber Torres 1B Neil Walker C Alex Avila SS Ronald Torreyes,,Jake Bauers,OF,7.59%,0
37,1155740733,penninop (7/7),0,123.8,P Rich Hill 2B Whit Merrifield SS Marcus Semien 1B Matt Olson OF Stephen Piscotty OF Nick Martini OF Alex Gordon C Jonathan Lucroy 3B Hunter Dozier P Mike Foltynewicz,,Hector Velázquez,P,7.59%,-8.6
38,1155809040,dbuckets85 (6/7),0,123.6,P Mike Clevinger P Jason Vargas OF J.D. Martinez OF Mookie Betts SS Xander Bogaerts OF Andrew Benintendi 1B Steve Pearce 3B Tim Beckham 2B Brandon Lowe C James McCann,,Nicholas Castellanos,OF,7.59%,10
39,1155594120,cptnspaulding (6/7),0,123.2,P Mike Clevinger P Erasmo Ramírez C Wilson Ramos 1B Jesús Aguilar OF Lorenzo Cain OF Ryan Braun 2B César Hernández 3B Maikel Franco OF Roman Quinn SS Scott Kingery,,David Peralta,OF,7.17%,3
40,1155821622,galexander21 (1/7),0,122.75,P Rich Hill P Zack Godley 3B Eduardo Escobar OF A.J. Pollock OF Andrew McCutchen 1B Brandon Belt 2B Ketel Marte SS Nick Ahmed C Buster Posey OF Alex Gordon,,Paul DeJong,SS,7.17%,0
41,1155702823,Kgrove25,0,121.8,P Rich Hill P Andrew Heaney OF Mike Trout OF Nicholas Castellanos OF Matt Kemp SS Willy Adames 3B Mike Moustakas 2B Lourdes Gurriel Jr. 1B Lucas Duda C James McCann,,Carlos Santana,1B,7.17%,2
42,1155623118,jamesberg,0,120.25,P Rich Hill P Reynaldo López 3B Matt Carpenter SS Paul DeJong OF Tyler O'Neill 1B José Martínez OF Cody Bellinger 2B Neil Walker OF Jake Bauers C James McCann,,Miles Mikolas,P,6.75%,1.3
43,1155594121,cptnspaulding (7/7),0,119.65,P Rich Hill P Gio Gonzalez 1B Matt Carpenter SS Paul DeJong OF Harrison Bader OF Andrew McCutchen OF Alen Hanson 2B Joe Panik 3B Evan Longoria C Buster Posey,,Ryan Zimmerman,1B,6.75%,3
44,1155676709,andrealking2 (6/7),0,119.6,P Rich Hill P Alex Cobb SS Francisco Lindor OF Christian Yelich 1B Edwin Encarnacion OF Lorenzo Cain OF Ryan Braun 2B Travis Shaw 3B Mike Moustakas C Buster Posey,,Christian Yelich,OF,6.33%,16
45,1155621195,ArupS,0,119,P Mike Clevinger OF Jackie Bradley Jr. 3B Evan Longoria OF Odúbel Herrera C Yan Gomes SS Aledmys Díaz 1B Ryan O'Hearn OF Billy McKinney 2B Devon Travis P Mike Foltynewicz,,Nick Markakis,OF,6.33%,2
45,1155675298,andrealking2 (2/7),0,119,P Alex Cobb SS Paul DeJong OF Tyler O'Neill 3B Jedd Gyorko 1B José Martínez 2B Kolten Wong OF Adam Jones OF Alex Gordon C Austin Wynns P Mike Foltynewicz,,César Hernández,2B,6.33%,11
47,1155802677,gititgood,0,116.8,P Rich Hill P Andrew Heaney OF Nicholas Castellanos OF Gregory Polanco 1B Joey Gallo OF Adam Jones 3B Jurickson Profar 2B Joey Wendle SS Andrelton Simmons C Tyler Flowers,,Steve Pearce,OF,6.33%,10
48,1155698379,kpolo72,0,116.65,P Rich Hill P Gio Gonzalez OF A.J. Pollock OF Tyler O'Neill C Yadier Molina 2B Brian Dozier SS Trea Turner 3B Matt Chapman 1B Lucas Duda OF Alex Gordon,,Andrew Benintendi,OF,6.33%,5
49,1155708486,Shaunovery (6/7),0,116,P Mike Clevinger OF Cedric Mullins OF Adam Jones 2B Jonathan Villar 3B Kyle Seager OF Trey Mancini SS José Iglesias 1B Chris Davis C James McCann P Mike Foltynewicz,,Matt Olson,1B,5.91%,2
50,1155794231,cdodson50,0,115,P Alex Cobb 3B Justin Turner OF Nicholas Castellanos OF Cody Bellinger 2B Ozzie Albies SS Jorge Polanco 1B Brandon Belt OF Nomar Mazara C Yan Gomes P Mike Foltynewicz,,Ronald Torreyes,SS,5.91%,0
51,1155683518,ziggypool (4/7),0,114.7,P Zack Godley P Sean Manaea 3B Todd Frazier C Francisco Cervelli OF Gregory Polanco 1B Wilmer Flores OF Starling Marte OF José Bautista SS Amed Rosario 2B Adam Frazier,,Jake Arrieta,P,5.91%,9.5
51,1155815895,nyo420 (3/7),0,114.7,P Rich Hill P Jalen Beeks OF Ronald Acuña Jr. OF Khris Davis 3B Nolan Arenado OF Juan Soto SS Amed Rosario C Yan Gomes 1B Trey Mancini 2B Brandon Lowe,,Devon Travis,2B,5.91%,0
53,1155808587,dbuckets85 (4/7),0,114.4,P Erasmo Ramírez OF J.D. Martinez OF Mookie Betts 3B Justin Turner 1B Steve Pearce OF Max Kepler 2B Eduardo Núñez SS Elvis Andrus C Jonathan Lucroy P Mike Foltynewicz,,Michael A. Taylor,OF,5.91%,0
54,1155823700,framos928 (3/4),0,113.25,P CC Sabathia P Gio Gonzalez 3B Matt Carpenter OF Rhys Hoskins 1B José Martínez SS Jean Segura OF Mitch Haniger 2B Asdrúbal Cabrera OF Marwin González C James McCann,,Matt Wieters,C,5.91%,3
55,1155732016,atxkat28,0,112.6,P Mike Clevinger P Rich Hill OF Giancarlo Stanton 1B Joey Gallo 3B Maikel Franco C Matt Wieters 2B Devon Travis OF Jay Bruce OF Adam Engel SS Orlando Arcia,,Gleyber Torres,2B,5.49%,18
56,1155656767,sasmallen (6/6),0,112.4,P Erasmo Ramírez OF David Dahl SS Paul DeJong OF Rhys Hoskins 1B José Martínez 2B Brian Dozier 3B Matt Chapman OF Alex Gordon C James McCann P Mike Foltynewicz,,A.J. Pollock,OF,5.49%,2
56,1155761209,PUMA1928,0,112.4,P Jake Arrieta P Alex Cobb OF David Peralta OF Christian Yelich 3B Justin Turner SS Manny Machado C Francisco Cervelli OF Ender Inciarte 1B Ji-Man Choi 2B Joe Panik,,Asdrúbal Cabrera,SS,5.49%,0
58,1155815902,Thebeav4,0,112.1,P Jake Odorizzi P Gio Gonzalez OF Charlie Blackmon OF Giancarlo Stanton OF Christian Yelich 3B Anthony Rendon 2B Ozzie Albies 1B Ryan Braun SS Carlos Correa C Austin Hedges,,Ozzie Albies,2B,5.49%,2
59,1155640151,BigShotRobTX (3/7),0,112,P Alex Cobb OF Khris Davis OF Bryce Harper 3B Anthony Rendon SS Trea Turner OF Steve Pearce 1B Yonder Alonso C Blake Swihart 2B Brandon Lowe P Mike Foltynewicz,,Jedd Gyorko,3B,5.49%,11
59,1155647867,BigShotRobTX (6/7),0,112,P Alex Cobb OF Khris Davis OF Bryce Harper 3B Anthony Rendon SS Trea Turner OF Steve Pearce 1B Yonder Alonso C Blake Swihart 2B Brandon Lowe P Mike Foltynewicz,,Charlie Blackmon,OF,5.06%,21
