Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1141566132,codestermert,0,153.65,P Aníbal Sánchez P Cole Hamels OF Mike Trout C Yasmani Grandal OF Lorenzo Cain 1B José Abreu 2B Yoán Moncada OF Kole Calhoun 3B Yolmer Sánchez SS Addison Russell,,Luke Weaver,P,67.69%,3.8
2,1141721152,suprme,0,146.1,P Rich Hill P Luke Weaver 3B Matt Carpenter SS Manny Machado OF Whit Merrifield 1B José Abreu 2B Yoán Moncada C Yadier Molina OF Jake Bauers OF Alex Gordon,,Rich Hill,P,61.57%,15.3
3,1141378251,cwyatt3111,0,144.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Yasmani Grandal OF Lorenzo Cain 1B Lucas Duda OF Ryan Braun 3B Mike Moustakas 2B Brian Dozier,,Manny Machado,SS,58.95%,2
3,1141422865,JC_NYJ,0,144.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Yasmani Grandal OF Lorenzo Cain 1B Lucas Duda OF Ryan Braun 3B Mike Moustakas 2B Brian Dozier,,Yoán Moncada,2B,55.02%,23
3,1141504408,bfoster,0,144.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Yasmani Grandal OF Lorenzo Cain 1B Lucas Duda OF Ryan Braun 3B Mike Moustakas 2B Brian Dozier,,Yolmer Sánchez,3B,48.03%,5
3,1141690368,B_Heals152,0,144.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Yasmani Grandal OF Lorenzo Cain 1B Lucas Duda OF Ryan Braun 3B Mike Moustakas 2B Brian Dozier,,José Abreu,1B,46.72%,11
7,1141775355,Scottopga,0,141.6,P Cole Hamels P Dylan Covey OF Mike Trout 2B Javier Báez OF Ben Zobrist 3B Nolan Arenado SS Trevor Story 1B Jake Bauers C Francisco Arcia OF Alex Gordon,,Mike Trout,OF,39.74%,7
8,1141677147,jrmill06,0,140.85,P Rich Hill P Nick Tropeano 3B Nolan Arenado OF Charlie Blackmon OF Jason Heyward 1B José Abreu 2B Yoán Moncada C Yadier Molina SS Paul DeJong OF Alex Gordon,,Alex Gordon,OF,31.44%,29
9,1141653557,eys819,0,139.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Salvador Perez OF Lorenzo Cain 1B Lucas Duda 2B Yoán Moncada 3B Mike Moustakas OF Alex Gordon,,Salvador Perez,C,30.57%,7
10,1141331351,logan008,0,138.95,P Rich Hill P Cole Hamels OF Mike Trout SS Manny Machado 1B José Abreu OF Kole Calhoun 3B David Fletcher OF Alex Gordon C Michael Pérez 2B Brian Dozier,,Daniel Palka,OF,27.95%,4
11,1141468101,stambizzle,0,137.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Salvador Perez OF Lorenzo Cain 1B Lucas Duda 2B Yoán Moncada 3B Yolmer Sánchez OF Alex Gordon,,Joc Pederson,OF,24.89%,3
11,1141582230,Moose5454,0,137.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Salvador Perez OF Lorenzo Cain 1B Lucas Duda 2B Yoán Moncada 3B Yolmer Sánchez OF Alex Gordon,,Whit Merrifield,2B,24.45%,10
13,1141629855,Sporin,0,136.1,P Rich Hill P Luke Weaver SS Javier Báez C Yasmani Grandal OF Justin Upton OF Yasiel Puig OF Kevin Kiermaier 1B Jake Bauers 3B David Fletcher 2B Brian Dozier,,Anthony Rizzo,1B,20.09%,6
14,1141737850,apov22,0,135.1,P Rich Hill P Luke Weaver SS Javier Báez C Salvador Perez 1B José Abreu 2B Yoán Moncada OF Kole Calhoun OF Jake Bauers 3B Matt Duffy OF Rosell Herrera,,Cole Hamels,P,19.65%,29.65
14,1141767023,vevwo,0,135.1,P Rich Hill P Luke Weaver 3B Matt Carpenter SS Manny Machado OF Whit Merrifield 1B José Abreu 2B Yoán Moncada C Yadier Molina OF Kevin Kiermaier OF Alex Gordon,,Kole Calhoun,OF,18.78%,18
16,1141523947,mvesey23,0,132.95,P Rich Hill P Cole Hamels 1B Anthony Rizzo SS Manny Machado OF Joc Pederson OF Jason Heyward 2B Yoán Moncada 3B Yolmer Sánchez OF Alex Gordon C Michael Pérez,,Avisaíl García,OF,17.47%,0
17,1141345482,amille32,0,132.1,P Rich Hill P Luke Weaver 3B Matt Carpenter OF Daniel Palka 1B José Abreu 2B Yoán Moncada C Yadier Molina SS Paul DeJong OF Kole Calhoun OF Jake Bauers,,Paul DeJong,SS,15.28%,5
18,1141411431,numismatist,0,131,P Cole Hamels P Jakob Junis 1B Anthony Rizzo 3B Nolan Arenado OF Carlos González C Willson Contreras 2B Whit Merrifield OF Marcell Ozuna SS Yairo Muñoz OF Gerardo Parra,,Michael Pérez,C,14.85%,3
19,1141536090,gooey911,0,129.2,P Cole Hamels P Nick Tropeano OF Ben Zobrist 3B Matt Carpenter SS Manny Machado 1B Albert Pujols C Yadier Molina OF Matt Kemp OF Marcell Ozuna 2B Brian Dozier,,Charlie Blackmon,OF,14.41%,4
20,1141425557,happygordo1,0,129.1,P Rich Hill P Luke Weaver SS Manny Machado C Yasmani Grandal OF Joc Pederson OF Daniel Palka 1B José Abreu 2B Yoán Moncada 3B Yolmer Sánchez OF Alex Gordon,,Jake Bauers,OF,13.97%,20
20,1141510793,APKiller,0,129.1,P Rich Hill P Luke Weaver SS Javier Báez OF Whit Merrifield OF Ian Happ 1B José Abreu 2B Yoán Moncada C Yadier Molina OF Jake Bauers 3B Yolmer Sánchez,,Yadier Molina,C,13.97%,17
22,1141383335,abragmania,0,128.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Yasmani Grandal 1B Lucas Duda 2B Yoán Moncada OF Ryan Braun OF Cody Bellinger 3B Yolmer Sánchez,,Nick Tropeano,P,13.97%,5.55
22,1141764964,breadslinger232323,0,128.45,P Cole Hamels P Luke Weaver 1B Anthony Rizzo SS Manny Machado C Yasmani Grandal OF Joc Pederson 2B Whit Merrifield OF Lorenzo Cain OF Cody Bellinger 3B Matt Duffy,,David Fletcher,3B,13.54%,0
24,1141512232,MrKasim,0,127.85,P Jakob Junis P Chase Anderson OF Mike Trout 3B Matt Carpenter OF Mallex Smith C Yadier Molina OF Marcell Ozuna SS Paul DeJong 1B José Martínez 2B Joey Wendle,,Brian Dozier,2B,13.10%,24
25,1141452649,muzykawb,0,127.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Salvador Perez OF Whit Merrifield 1B José Abreu 2B Yoán Moncada 3B Yolmer Sánchez OF Alex Gordon,,Aníbal Sánchez,P,12.23%,0
25,1141482956,Meth,0,127.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Salvador Perez OF Whit Merrifield 1B José Abreu 2B Yoán Moncada 3B Yolmer Sánchez OF Alex Gordon,,Lucas Duda,1B,11.79%,9
25,1141651820,ibarraj6879,0,127.45,P Cole Hamels P Luke Weaver OF Mike Trout SS Manny Machado C Salvador Perez OF Whit Merrifield 1B José Abreu 2B Yoán Moncada 3B Yolmer Sánchez OF Alex Gordon,,Yasmani Grandal,C,10.92%,33
