Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1154788031,toneloc160,0,152.55,P Noah Syndergaard P Jon Gray OF Charlie Blackmon 1B Ian Desmond SS Trea Turner OF José Bautista 3B Anthony Rendon OF Rafael Ortega C Tony Wolters 2B Wilmer Difo,,Jon Gray,P,61.00%,20.65
2,1154421616,JC_NYJ,0,144.3,P Noah Syndergaard P Trevor Richards OF Charlie Blackmon OF Bryce Harper SS Trea Turner 1B Anthony Rizzo OF Juan Soto 2B Daniel Murphy 3B Anthony Rendon C René Rivera,,Charlie Blackmon,OF,61.00%,13
3,1154443618,Meth,0,144.05,P Jon Gray P Trevor Richards 3B Nolan Arenado OF Charlie Blackmon SS Trevor Story 2B Javier Báez OF Juan Soto 1B Daniel Murphy C Willson Contreras OF Kevin Kiermaier,,Javier Báez,2B,56.00%,21
4,1154428439,bledsoe2002,0,143.5,P Jon Gray P Yonny Chirinos OF David Peralta 1B Paul Goldschmidt 3B Nolan Arenado OF Charlie Blackmon SS Javier Báez 2B Jeff McNeil OF Brandon Guyer C Matt Wieters,,Nolan Arenado,3B,43.00%,7
5,1154724012,GoldStandard000,0,143.3,P Noah Syndergaard P Trevor Richards SS Trevor Story OF Bryce Harper 2B Javier Báez OF Juan Soto OF Corey Dickerson 1B Daniel Murphy 3B Anthony Rendon C René Rivera,,Noah Syndergaard,P,41.00%,21.9
6,1154533054,truckertim76,0,143.05,P Jon Gray P Trevor Richards OF David Peralta OF Charlie Blackmon 3B Eduardo Escobar SS Javier Báez OF Michael Conforto 1B Mitch Moreland 2B Jeff McNeil C James McCann,,Corey Dickerson,OF,36.00%,0
7,1154691550,walton75,0,142.75,P Walker Buehler P Lance Lynn OF Bryce Harper 3B Daniel Descalso SS Freddy Galvis OF Adam Eaton OF Juan Soto 1B Justin Bour C Matt Wieters 2B Wilmer Difo,,Trevor Richards,P,34.00%,22.4
8,1154630769,FRONTRUNNERS,0,142.6,P Julio Teheran P Jon Gray OF David Peralta 2B Javier Báez OF Nicholas Castellanos C Yan Gomes OF Adam Eaton 3B David Bote 1B Ryan O'Hearn SS José Iglesias,,Lance Lynn,P,28.00%,8
9,1154474453,ncjonyoung,0,141.3,P Noah Syndergaard P Trevor Richards OF Charlie Blackmon OF Bryce Harper SS Javier Báez OF Corey Dickerson 2B Daniel Murphy 3B Anthony Rendon 1B Ji-Man Choi C Tony Wolters,,Daniel Murphy,2B,26.00%,10
10,1154531507,brand1217,0,140.5,P Jon Gray P Yonny Chirinos SS Francisco Lindor OF Charlie Blackmon OF Carlos González 2B Javier Báez OF Juan Soto 1B Daniel Murphy C Willson Contreras 3B David Bote,,José Iglesias,SS,24.00%,3
10,1154743861,billy_el_flaco,0,140.5,P Jon Gray P Yonny Chirinos 3B Nolan Arenado OF Charlie Blackmon SS Trevor Story 2B Javier Báez OF Juan Soto OF Joc Pederson 1B Daniel Murphy C Willson Contreras,,René Rivera,C,24.00%,8
12,1154418753,carlosgee16,0,139.05,P Jon Gray P Trevor Richards OF Charlie Blackmon OF Carlos González OF Bryce Harper SS Javier Báez 1B Anthony Rizzo 2B Daniel Murphy 3B Anthony Rendon C Yadier Molina,,Anthony Rizzo,1B,24.00%,14
13,1154427199,Prparent,0,139,P Jon Gray P Jakob Junis OF Charlie Blackmon OF Bryce Harper 2B Javier Báez 1B Anthony Rizzo OF Juan Soto C Willson Contreras 3B Jeimer Candelario SS José Iglesias,,Juan Soto,OF,23.00%,14
14,1154490936,skydombro74,0,137.55,P Noah Syndergaard P Jon Gray SS Javier Báez OF Juan Soto OF Joc Pederson 1B Ryan Zimmerman 3B Anthony Rendon OF Ian Happ 2B Jeff McNeil C Alex Avila,,Trevor Story,SS,23.00%,15
15,1154775417,rosineater,0,135.4,P Lance Lynn P Trevor Richards 3B Nolan Arenado OF Charlie Blackmon SS Javier Báez 1B Ian Desmond OF Juan Soto OF Corey Dickerson C Willson Contreras 2B Jeff McNeil,,Bryce Harper,OF,20.00%,22
16,1154794094,kmelfe,0,135.05,P Jon Gray P Trevor Richards 3B Nolan Arenado OF Charlie Blackmon SS Trevor Story 2B Javier Báez 1B Anthony Rizzo OF Juan Soto OF Corey Dickerson C René Rivera,,Ji-Man Choi,1B,20.00%,8
17,1154706252,stambizzle,0,134.3,P Noah Syndergaard P Trevor Richards OF Charlie Blackmon OF Bryce Harper 2B Javier Báez 1B Anthony Rizzo OF Corey Dickerson 3B Anthony Rendon SS José Iglesias C René Rivera,,Jeff McNeil,2B,19.00%,13
17,1154730598,Moose5454,0,134.3,P Noah Syndergaard P Trevor Richards OF Charlie Blackmon OF Bryce Harper 2B Javier Báez 1B Anthony Rizzo OF Corey Dickerson 3B Anthony Rendon SS José Iglesias C René Rivera,,Willson Contreras,C,18.00%,11
17,1154768780,Thejamal,0,134.3,P Noah Syndergaard P Trevor Richards OF Charlie Blackmon OF Bryce Harper 2B Javier Báez 1B Anthony Rizzo OF Corey Dickerson 3B Anthony Rendon SS José Iglesias C René Rivera,,James McCann,C,16.00%,0
17,1154828933,wiggl45es,0,134.3,P Noah Syndergaard P Trevor Richards OF Charlie Blackmon OF Bryce Harper 2B Javier Báez 1B Anthony Rizzo OF Corey Dickerson 3B Anthony Rendon SS José Iglesias C René Rivera,,Nicholas Castellanos,OF,16.00%,11
21,1154755539,L_Faction,0,133.55,P Noah Syndergaard P Jon Gray SS Javier Báez OF Nicholas Castellanos OF Gregory Polanco C Willson Contreras 2B Jeff McNeil 1B Ji-Man Choi 3B David Bote OF Brandon Guyer,,Carlos González,OF,16.00%,5
22,1154456469,B_Heals152,0,132.4,P Lance Lynn P Trevor Richards 3B Nolan Arenado OF Charlie Blackmon SS Trevor Story 2B Javier Báez 1B Anthony Rizzo OF Juan Soto OF Kevin Kiermaier C René Rivera,,Anthony Rendon,3B,16.00%,9
22,1154724379,SugarBush2000,0,132.4,P Walker Buehler P Jon Gray OF David Peralta OF Nicholas Castellanos OF Mallex Smith 2B Jeff McNeil 1B Ji-Man Choi SS Dansby Swanson 3B David Fletcher C Michael Pérez,,Brandon Guyer,OF,15.00%,2
24,1154369357,Nklivin24,0,131.55,P Noah Syndergaard P Jon Gray OF Charlie Blackmon 2B Javier Báez OF Corey Dickerson OF Joc Pederson 3B Jeimer Candelario 1B Justin Bour SS José Iglesias C René Rivera,,David Peralta,OF,14.00%,19
24,1154714541,ivymoose,0,131.55,P Noah Syndergaard P Jon Gray OF Charlie Blackmon 2B Javier Báez OF Corey Dickerson OF Joc Pederson 3B Jeimer Candelario 1B Justin Bour SS José Iglesias C René Rivera,,Kevin Kiermaier,OF,13.00%,10
26,1154774974,jbugz12,0,130.75,P Noah Syndergaard P Yonny Chirinos OF Charlie Blackmon OF Carlos González SS Javier Báez OF Juan Soto 2B Daniel Murphy 3B Anthony Rendon 1B Ji-Man Choi C Tony Wolters,,David Bote,3B,12.00%,20
