Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,1159157335,mikeandretti (6/10),0,145.15,P Andrew Heaney P Lucas Giolito SS Trevor Story OF Giancarlo Stanton OF Charlie Blackmon OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit C Tony Wolters,,Xander Bogaerts,SS,11.58%,2
25,1159369061,nyo420 (2/10),0,144.75,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Charlie Blackmon 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Mitch Haniger C Jonathan Lucroy P Robert Stock,,George Springer,OF,11.16%,3
26,1159212048,jawish1963,0,144.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Mitch Haniger SS Carlos Correa OF Kiké Hernández 1B Luke Voit C Francisco Cervelli 3B Eduardo Núñez 2B Luis Urías,,Jonathan Lucroy,C,10.95%,0
27,1159098719,BigShotRobTX (6/10),0,143.9,P German Márquez P Joe Musgrove OF J.D. Martinez OF Mookie Betts OF Andrew Benintendi SS Xander Bogaerts 1B Luke Voit 3B David Fletcher 2B Ronny Rodriguez C Sandy Leon,,Alex Bregman,3B,10.95%,5
27,1159172943,CHEEZER7 (3/5),0,143.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Marwin González 1B Luke Voit SS Johan Camargo C Sandy Leon,,Matt Chapman,3B,10.32%,0
29,1159372149,DailyFool (2/3),0,143.65,P Rich Hill P German Márquez OF Mookie Betts OF Giancarlo Stanton 1B Luke Voit SS Marcus Semien 2B Ian Kinsler 3B Eduardo Núñez OF Shane Robinson C Sandy Leon,,Steven Souza Jr.,OF,9.89%,8
30,1159148258,icehole3,0,143.6,P German Márquez P Robbie Ray OF J.D. Martinez OF Mookie Betts SS Marwin González 1B Luke Voit 2B Ian Kinsler 3B Eduardo Núñez C Kyle Higashioka OF Shane Robinson,,Yadier Molina,C,9.89%,7
31,1159303633,xtremeballer (2/3),0,140.9,P German Márquez P Joe Musgrove OF Mookie Betts OF Giancarlo Stanton 3B Miguel Andújar SS Carlos Correa 1B Luke Voit OF Stephen Piscotty 2B Ian Kinsler C Sandy Leon,,J.D. Martinez,OF,9.68%,18
31,1159303726,xtremeballer (3/3),0,140.9,P German Márquez P Joe Musgrove OF Mookie Betts OF Giancarlo Stanton 3B Miguel Andújar SS Carlos Correa 1B Luke Voit OF Stephen Piscotty 2B Ian Kinsler C Sandy Leon,,Marwin González,SS,9.68%,0
33,1159369063,nyo420 (4/10),0,140.7,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Charlie Blackmon 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Mitch Haniger C Jonathan Lucroy P Brad Boxberger,,Ian Kinsler,2B,9.47%,13
34,1159388139,okelly36 (2/4),0,140.6,P German Márquez P Robbie Ray OF Giancarlo Stanton 3B Miguel Andújar SS Eduardo Escobar OF Daniel Palka 1B Luke Voit C Francisco Cervelli 2B Eduardo Núñez OF Steven Souza Jr.,,John Gant,P,8.84%,25.15
35,1159345910,kylehaeussler,0,138.9,P German Márquez P Joe Musgrove 3B Alex Bregman OF Giancarlo Stanton 2B Gleyber Torres OF A.J. Pollock 1B Luke Voit C Kyle Higashioka SS Nick Ahmed OF Steven Souza Jr.,,Nelson Cruz,OF,8.84%,2
36,1159411653,metacognition (7/8),0,138.65,P German Márquez P Eric Lauer OF Giancarlo Stanton OF Aaron Hicks OF Khris Davis 2B Gleyber Torres 3B Matt Chapman 1B Freddie Freeman SS Marcus Semien C Kyle Higashioka,,Stephen Piscotty,OF,8.84%,5
37,1159321591,Nycsourdiesel (1/2),0,138.3,P Robbie Ray P Andrew Heaney SS Trevor Story 3B Nolan Arenado OF Aaron Hicks 2B Gleyber Torres OF José Martínez 1B Luke Voit OF Ramón Laureano C Sandy Leon,,Freddie Freeman,1B,8.84%,19
38,1159076217,Katlpga,0,137.65,P Robbie Ray P Lucas Giolito OF J.D. Martinez OF Mookie Betts OF Ronald Acuña Jr. 3B Matt Chapman 1B Freddie Freeman SS Chris Taylor 2B Ian Kinsler C Austin Romine,,Tyler White,1B,8.84%,19
39,1159369097,nyo420 (9/10),0,137.25,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Khris Davis 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Mitch Haniger C Jonathan Lucroy P José Castillo,,José Martínez,OF,8.63%,12
40,1159214876,analcanal,0,136.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Charlie Blackmon 3B Miguel Andújar 2B Gleyber Torres 1B Tyler White OF Nicholas Castellanos C James McCann SS Greg Garcia,,Jose Altuve,2B,8.21%,8
