Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,1141463422,crobi31725 (1/3),0,132.4,P Carlos Carrasco P Sean Manaea OF Giancarlo Stanton OF Brett Gardner 2B Gleyber Torres SS Tim Beckham C John Hicks 3B Danny Valencia OF Mason Williams 1B Victor Martinez,,Greg Bird,1B,15.79%,5
24,1141400904,icehole3 (2/2),0,132.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton 2B Gleyber Torres 1B Greg Bird 3B Miguel Andújar OF Phillip Ervin OF Preston Tucker C Curt Casali,,Edwin Encarnacion,1B,15.58%,7
25,1141316744,jgAllDay (7/10),0,128.3,P Carlos Carrasco P Sal Romano OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 3B Miguel Andújar 1B Matt Olson OF Nick Martini SS Marcus Semien C Austin Romine,,Mason Williams,OF,14.53%,8
26,1141369554,qbjjj (1/6),0,127.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Austin Romine,,Eugenio Suárez,3B,14.53%,8
26,1141369557,qbjjj (2/6),0,127.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Austin Romine,,José Peraza,SS,14.53%,0
26,1141369560,qbjjj (3/6),0,127.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Austin Romine,,JaCoby Jones,OF,13.89%,8
26,1141377246,qbjjj (4/6),0,127.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Austin Romine,,Evan Gattis,C,13.47%,13
26,1141377263,qbjjj (5/6),0,127.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Austin Romine,,Brandon Guyer,OF,12.00%,2
26,1141377278,qbjjj (6/6),0,127.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Austin Romine,,Tim Beckham,3B,11.79%,7
32,1141366517,kevinthieleman (5/6),0,126.3,P Carlos Carrasco P Sal Romano OF Giancarlo Stanton OF Aaron Hicks 1B Joey Votto 2B Gleyber Torres SS José Peraza OF Brandon Guyer 3B Tim Beckham C Russell Martin,,Jeimer Candelario,3B,11.79%,7
