Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1156413792,DarthLeeman,0,172.5,P Clayton Kershaw P Wei-Yin Chen OF Carlos González OF David Dahl 1B Max Muncy OF Yasiel Puig 2B Ketel Marte SS Marwin González 3B David Fletcher C Jonathan Lucroy,,Clayton Kershaw,P,55.46%,27.8
2,1156581076,rpm555,0,151.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF David Dahl 3B Justin Turner 1B Edwin Encarnacion SS Marwin González OF Craig Gentry 2B Logan Forsythe C Jonathan Lucroy,,Jonathan Lucroy,C,54.15%,23
3,1156377598,IViFIGHTERVI,0,148.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF David Dahl 3B Matt Chapman OF Stephen Piscotty 1B Tyler White SS Marwin González 2B Chad Pinder C Jonathan Lucroy,,Matt Chapman,3B,52.84%,11
3,1156411215,sauce_it_up,0,148.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF David Dahl 3B Matt Chapman OF Stephen Piscotty 1B Tyler White SS Marwin González 2B Chad Pinder C Jonathan Lucroy,,Matt Adams,OF,48.47%,2
5,1156620664,remtrigger,0,146.65,P Clayton Kershaw P Sonny Gray 3B Justin Turner SS Manny Machado 1B Edwin Encarnacion OF Matt Adams OF Chad Pinder OF Mark Canha 2B Greg Garcia C Jonathan Lucroy,,Marwin González,SS,41.92%,25
6,1156581040,jhaston,0,146.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF A.J. Pollock SS Marcus Semien 3B Mike Moustakas 1B Yonder Alonso OF Marwin González 2B Logan Forsythe C Jonathan Lucroy,,Charlie Blackmon,OF,41.48%,9
7,1156523991,Hex_10,0,144.55,P Justin Verlander P Robbie Ray 3B Max Muncy 1B Cody Bellinger OF Ramón Laureano SS Marwin González OF Chad Pinder OF Mark Canha 2B Logan Forsythe C Jonathan Lucroy,,Logan Forsythe,2B,38.86%,5
8,1156153948,30inchwalleye,0,142.95,P Clayton Kershaw P Aníbal Sánchez 3B Max Muncy 2B Jed Lowrie SS Alex Bregman OF Josh Reddick OF Marwin González OF Jake Cave 1B Chris Davis C Jonathan Lucroy,,Robbie Ray,P,36.24%,17.85
9,1156336618,lilcharney81,0,141.5,P Clayton Kershaw P Wei-Yin Chen 3B Matt Carpenter OF Charlie Blackmon 1B Yonder Alonso OF Matt Adams 2B Neil Walker SS Marwin González OF Craig Gentry C Jonathan Lucroy,,Stephen Piscotty,OF,27.51%,0
9,1156345740,jhogan16,0,141.5,P Clayton Kershaw P Wei-Yin Chen 3B Matt Carpenter OF Charlie Blackmon 1B Yonder Alonso OF Matt Adams 2B Neil Walker SS Marwin González OF Craig Gentry C Jonathan Lucroy,,Greg Garcia,2B,26.64%,8
9,1156578972,golfer13cc,0,141.5,P Clayton Kershaw P Wei-Yin Chen 3B Matt Carpenter OF Charlie Blackmon 1B Yonder Alonso OF Matt Adams 2B Neil Walker SS Marwin González OF Craig Gentry C Jonathan Lucroy,,Aníbal Sánchez,P,25.76%,11.15
12,1156473811,Cpd012,0,141.15,P Clayton Kershaw P German Márquez OF Mitch Haniger 3B Matt Chapman SS Carlos Correa 2B Neil Walker OF Trey Mancini 1B Tyler White OF Chad Pinder C Jonathan Lucroy,,Marcus Semien,SS,25.76%,2
13,1156391937,chasecochran15,0,140.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF Khris Davis SS Marcus Semien 3B Matt Chapman 1B Matt Adams OF Marwin González 2B Greg Garcia C Jonathan Lucroy,,Wei-Yin Chen,P,25.33%,32.7
13,1156394411,craigw94,0,140.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF Khris Davis SS Marcus Semien 3B Matt Chapman 1B Matt Adams OF Marwin González 2B Greg Garcia C Jonathan Lucroy,,Mark Canha,OF,21.40%,5
15,1156483999,drpotter1314,0,140.2,P German Márquez P Sonny Gray OF Ronald Acuña Jr. OF Carlos González 1B Edwin Encarnacion 3B Alex Bregman OF Cody Bellinger SS Carlos Correa 2B Logan Forsythe C Jonathan Lucroy,,Edwin Encarnacion,1B,20.96%,3
16,1156568055,thmsds,0,139.95,P Clayton Kershaw P Andrew Cashner OF Charlie Blackmon OF A.J. Pollock 1B Edwin Encarnacion 2B Jose Altuve 3B Matt Chapman OF Steven Souza Jr. SS Marwin González C Jonathan Lucroy,,Yonder Alonso,1B,20.52%,7
17,1156258602,BoostPinoy,0,139.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon 2B Jose Altuve SS Marcus Semien 3B Matt Chapman 1B Neil Walker OF Marwin González C Tony Wolters OF Craig Gentry,,Yadier Molina,C,19.65%,3
