"Chase d'Arnaud",2700,SFG,2B/3B,SEA,,0.999,6.58
"Guillermo Heredia",2600,SEA,OF,SFG,,0.999,4.66
"Ryon Healy",3800,SEA,1B,SFG,,0.999,6.58
"Alen Hanson",3200,SFG,2B/OF,SEA,,0.999,5.57
"Austin Slater",3000,SFG,OF,SEA,,0.999,5.33
"Mike Zunino",3000,SEA,C,SFG,,0.999,6.01
"Mitch Haniger",4000,SEA,OF,SFG,,0.745,7.8
"Nelson Cruz",4000,SEA,OF,SFG,,0.772,8.9
"Jean Segura",4400,SEA,SS,SFG,,0.807,8.55
"Denard Span",3700,SEA,OF,SFG,,0.999,5.49
"Kyle Seager",3400,SEA,3B,SFG,,0.743,6.78
"Andrew McCutchen",3700,SFG,OF,SEA,,0.999,6.93
"Buster Posey",3500,SFG,C,SEA,,0.999,6.12
"Gorkys Hernandez",3100,SFG,OF,SEA,,0.999,4.27
"Nick Hundley",3000,SFG,C,SEA,,0.999,5.83
"Nicky Delmonico",3300,CHW,OF,LAA,,0.999,6.74
"Leury Garcia",3500,CHW,OF,LAA,,0.999,6.31
"Alcides Escobar",2700,KCR,SS,DET,,0.999,4.91
"Salvador Perez",3700,KCR,C,DET,,0.746,7.62
"Jorge Bonifacio",3400,KCR,OF,DET,,0.805,7.61
"Hunter Dozier",2900,KCR,1B,DET,,0.999,6.65
"George Springer",5500,HOU,OF,COL,,0.758,10.77
"Jose Altuve",5200,HOU,2B,COL,,0.772,11.16
"Alex Bregman",5800,HOU,3B,COL,,0.763,10.47
"Whit Merrifield",3900,KCR,2B/OF,DET,,0.752,8.22
"Jose Iglesias",3300,DET,SS,KCR,,0.999,6.03
"Victor Reyes",3100,DET,OF,KCR,,0.999,4.9
"Niko Goodrum",3700,DET,2B/OF,KCR,,0.755,7.96
"Rosell Herrera",2900,KCR,OF,DET,,0.999,4.92
"Nick Castellanos",4200,DET,OF,KCR,,0.755,8.44
"James McCann",2700,DET,C,KCR,,0.999,5.78
"John Hicks",3300,DET,1B/C,KCR,,0.719,7.09
"Yulieski Gurriel",4200,HOU,1B,COL,,0.725,9.81
"Marwin Gonzalez",3700,HOU,OF/SS,COL,,0.999,10.09
"Gerardo Parra",3500,COL,OF,HOU,,0.999,8.76
"Charlie Blackmon",5200,COL,OF,HOU,,0.798,9.4
"Carlos Gonzalez",4600,COL,OF,HOU,,0.999,8.03
"Yoan Moncada",3900,CHW,2B,LAA,,0.781,8.03
"Omar Narvaez",3200,CHW,C,LAA,,0.999,6.01
"Yolmer Sanchez",3500,CHW,3B,LAA,,0.999,6.93
"Josh Reddick",4000,HOU,OF,COL,,0.737,8.86
"Garrett Hampson",4100,COL,2B,HOU,,0.999,6.44
"Trevor Story",4400,COL,SS,HOU,,0.999,8.27
"Nolan Arenado",5100,COL,3B,HOU,,0.743,9.8
"Ian Desmond",4100,COL,1B,HOU,,0.999,7.56
"Chris Iannetta",2800,COL,C,HOU,,0.999,6.2
"Max Stassi",3900,HOU,C,COL,,0.999,7.47
"J.D. Davis",3800,HOU,1B/OF,COL,,0.999,7.79
"Melky Cabrera",3800,CLE,OF,PIT,,0.999,6.59
"Yonder Alonso",4300,CLE,1B,PIT,,0.999,7.12
"Joey Rickard",3100,BAL,OF,BOS,,0.999,5.24
"Renato Nunez",3800,BAL,3B/OF,BOS,,0.999,5.75
"Trey Mancini",3200,BAL,1B/OF,BOS,,0.999,6.35
"Austin Wynns",3000,BAL,C,BOS,,0.999,4.98
"Andrew Benintendi",5700,BOS,OF,BAL,,0.76,9.83
"Brock Holt",3600,BOS,2B/SS,BAL,,0.999,5.98
"Mitch Moreland",4400,BOS,1B,BAL,,0.713,8.82
"Danny Valencia",3500,BAL,3B/OF,BOS,,0.999,7.5
"Mark Trumbo",3500,BAL,1B/OF,BOS,,0.999,7.71
"J.D. Martinez",5600,BOS,OF,BAL,,0.759,10.58
"Mookie Betts",6200,BOS,OF,BAL,,0.762,10.81
"Xander Bogaerts",5300,BOS,SS,BAL,,0.805,7.49
"Tim Beckham",3500,BAL,3B,BOS,,0.748,8.12
"Adam Jones",3600,BAL,OF,BOS,,0.721,7.19
"Jonathan Schoop",3700,BAL,2B,BOS,,0.725,7.57
"Rafael Devers",3700,BOS,3B,BAL,,0.999,6.29
"Sandy Leon",3100,BOS,C,BAL,,0.999,5.33
"Kendrys Morales",3700,TOR,1B,MIN,,0.999,7.89
"Yangervis Solarte",3300,TOR,2B/3B,MIN,,0.999,7.85
"Justin Smoak",4100,TOR,1B,MIN,,0.999,7.56
"Dwight Smith Jr.",3400,TOR,OF,MIN,,0.999,5.28
"Brian Dozier",4300,MIN,2B,TOR,,0.748,8.69
"Teoscar Hernandez",3900,TOR,OF,MIN,,0.759,8.41
"Eduardo Escobar",4000,MIN,3B/SS,TOR,,0.739,7.83
"Curtis Granderson",3500,TOR,OF,MIN,,0.735,7.4
"Max Kepler",3500,MIN,OF,TOR,,0.999,5.68
"Steve Pearce",4100,BOS,1B/OF,BAL,,0.999,6.3
"Jackie Bradley",4000,BOS,OF,BAL,,0.999,5.54
"Eduardo Nunez",3300,BOS,2B/3B,BAL,,0.755,6.44
"Caleb Joseph",2900,BAL,C,BOS,,0.742,5.38
"Eddie Rosario",4500,MIN,OF,TOR,,0.999,7.02
"Joe Mauer",3700,MIN,1B,TOR,,0.702,6.95
"Andrew Knapp",3000,PHI,C,LAD,,0.731,5.08
"Chase Utley",2900,LAD,2B,PHI,,0.999,4.89
"Charlie Culberson",3400,ATL,3B/OF,MIA,,0.733,6.88
"Ronald Acuna",4400,ATL,OF,MIA,,0.748,9.62
"Martin Prado",3600,MIA,3B,ATL,,0.999,5.29
"Tyler Flowers",3100,ATL,C,MIA,,0.731,6.43
"Johan Camargo",3600,ATL,3B/SS,MIA,,0.748,6.73
"Magneuris Sierra",2600,MIA,OF,ATL,,0,4.6
"Dansby Swanson",3600,ATL,SS,MIA,,0.999,5.48
"Starlin Castro",4000,MIA,2B,ATL,,0.999,6.55
"J.T. Realmuto",4800,MIA,C,ATL,,0.748,7.13
"Ender Inciarte",4000,ATL,OF,MIA,,0.999,5.62
"Nick Markakis",4500,ATL,OF,MIA,,0.72,6.54
"Derek Dietrich",4500,MIA,OF,ATL,,0.73,7.38
"Justin Bour",3700,MIA,1B,ATL,,0.999,7.39
"Brian Anderson",4100,MIA,3B/OF,ATL,,0.711,7.13
"J.T. Riddle",3200,MIA,SS,ATL,,0.999,5.77
"Joc Pederson",3900,LAD,OF,PHI,,0.772,7.33
"Max Muncy",4400,LAD,1B/3B,PHI,,0.769,7.1
"Enrique Hernandez",3200,LAD,OF/SS,PHI,,0.999,5.21
"Chris Taylor",3900,LAD,OF/SS,PHI,,0.999,5.96
"Rhys Hoskins",4000,PHI,OF,LAD,,0.804,8.57
"Maikel Franco",3400,PHI,3B,LAD,,0.999,5.9
"Jorge Alfaro",3200,PHI,C,LAD,,0.999,5.08
"Scott Kingery",3100,PHI,SS,LAD,,0.999,5.85
"Matt Kemp",3900,LAD,OF,PHI,,0.999,6.48
"Manny Machado",4500,LAD,SS,PHI,,0.999,7.18
"Cody Bellinger",3900,LAD,1B/OF,PHI,,0.814,6.5
"Yasmani Grandal",3900,LAD,C,PHI,,0.72,6.5
"Cesar Hernandez",3800,PHI,2B,LAD,,0.735,7.89
"Odubel Herrera",4000,PHI,OF,LAD,,0.798,7.61
"Nick Williams",3300,PHI,OF,LAD,,0.999,6.53
"Carlos Santana",3500,PHI,1B,LAD,,0.714,6.9
