,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,361.2,- - -,1476.0,270.0,50.0,3.0,119.0,110.0,30.0,136.0,22.0,7.0,409.0,0.203,0.282,0.318,0.264,10.18,3.38,3.01,0.75,27.7,9.2,18.5,- - -,1.12,0.269,79.3,3.1,3.4
1,Total,vs R,378.0,- - -,1474.0,247.0,53.0,5.0,90.0,88.0,25.0,99.0,5.0,11.0,452.0,0.181,0.244,0.285,0.236,10.76,2.36,4.57,0.6,30.7,6.7,23.9,- - -,0.92,0.25,82.9,2.43,3.05
