,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,288.1,- - -,1264.0,255.0,40.0,6.0,126.0,114.0,19.0,166.0,29.0,6.0,335.0,0.234,0.34,0.339,0.299,10.46,5.18,2.02,0.59,26.5,13.1,13.4,- - -,1.46,0.32,75.2,3.45,3.59
1,Total,vs R,387.2,- - -,1572.0,325.0,52.0,12.0,159.0,142.0,32.0,102.0,5.0,14.0,423.0,0.223,0.284,0.348,0.278,9.82,2.37,4.15,0.74,26.9,6.5,20.4,- - -,1.1,0.293,71.2,2.92,3.1
