,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,13.2,- - -,68.0,22.0,5.0,0.0,10.0,10.0,1.0,7.0,1.0,0.0,9.0,0.361,0.426,0.492,0.4,5.93,4.61,1.29,0.66,13.2,10.3,3.0,- - -,2.12,0.412,68.8,4.13,4.5
1,Total,vs R,19.1,- - -,84.0,23.0,5.0,1.0,11.0,9.0,1.0,5.0,0.0,1.0,14.0,0.295,0.354,0.434,0.346,6.52,2.33,2.8,0.47,16.7,6.0,10.7,- - -,1.45,0.349,65.2,3.12,3.73
