,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,36.2,- - -,149.0,37.0,6.0,1.0,15.0,14.0,3.0,6.0,0.0,3.0,21.0,0.264,0.315,0.397,0.313,5.15,1.47,3.5,0.74,14.1,4.0,10.1,- - -,1.17,0.293,74.2,3.81,4.01
1,Total,vs R,68.2,- - -,305.0,65.0,17.0,1.0,35.0,35.0,8.0,41.0,1.0,1.0,49.0,0.247,0.353,0.42,0.341,6.42,5.37,1.2,1.05,16.1,13.4,2.6,- - -,1.54,0.277,75.2,5.09,5.51
