,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,8.2,5.19,33.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,1.0,8.0,0.167,0.242,0.467,0.303,8.31,2.08,4.0,3.12,24.2,6.1,18.2,0.167,0.81,0.105,79.0,6.65,2.95
1,Total,Away,3.1,13.5,22.0,7.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,0.438,0.619,0.467,0.5,8.1,13.5,0.6,0.0,13.6,22.7,-9.1,0.438,3.6,0.539,61.5,6.56,6.98
