,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,38.0,- - -,178.0,50.0,6.0,3.0,29.0,22.0,4.0,21.0,5.0,1.0,14.0,0.321,0.414,0.493,0.387,3.32,4.97,0.67,0.95,7.9,11.8,-3.9,- - -,1.87,0.333,64.8,5.35,4.64
1,Total,vs R,44.1,- - -,194.0,55.0,10.0,0.0,31.0,28.0,8.0,12.0,0.0,5.0,35.0,0.311,0.375,0.511,0.384,7.11,2.44,2.92,1.62,18.0,6.2,11.8,- - -,1.51,0.351,67.4,4.89,3.8
