,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,6.1,- - -,27.0,8.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.296,0.296,0.444,0.32,2.84,0.0,2.0,1.42,7.4,0.0,7.4,- - -,1.26,0.292,60.6,4.66,4.59
1,Total,vs R,9.0,- - -,40.0,12.0,3.0,0.0,5.0,5.0,1.0,1.0,1.0,0.0,11.0,0.308,0.325,0.462,0.331,11.0,1.0,11.0,1.0,27.5,2.5,25.0,- - -,1.44,0.407,69.0,2.57,2.66
