,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,44.2,- - -,173.0,34.0,4.0,0.0,18.0,17.0,1.0,14.0,3.0,0.0,30.0,0.214,0.279,0.263,0.24,6.04,2.82,2.14,0.2,17.3,8.1,9.3,- - -,1.07,0.258,64.4,2.94,3.47
1,Total,vs R,42.1,- - -,187.0,42.0,5.0,0.0,25.0,24.0,5.0,22.0,0.0,1.0,48.0,0.256,0.351,0.39,0.33,10.2,4.68,2.18,1.06,25.7,11.8,13.9,- - -,1.51,0.333,69.0,3.95,3.67
