,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,120.1,4.71,543.0,129.0,24.0,4.0,66.0,63.0,12.0,68.0,2.0,5.0,113.0,0.275,0.378,0.43,0.354,8.45,5.09,1.66,0.9,20.8,12.5,8.3,0.275,1.64,0.339,73.4,4.39,4.78
1,Total,Away,72.0,6.5,340.0,88.0,17.0,1.0,53.0,52.0,12.0,43.0,7.0,0.0,76.0,0.296,0.388,0.491,0.37,9.5,5.38,1.77,1.5,22.4,12.7,9.7,0.296,1.82,0.364,68.3,5.0,4.36
