,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,21.1,9.28,115.0,43.0,5.0,0.0,25.0,22.0,8.0,10.0,1.0,0.0,13.0,0.41,0.469,0.706,0.491,5.48,4.22,1.3,3.38,11.3,8.7,2.6,0.41,2.48,0.417,67.0,8.17,5.89
1,Total,Away,19.0,5.21,81.0,18.0,4.0,0.0,12.0,11.0,6.0,6.0,0.0,1.0,14.0,0.243,0.309,0.541,0.362,6.63,2.84,2.33,2.84,17.3,7.4,9.9,0.243,1.26,0.222,78.3,6.82,5.0
