,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,6.2,- - -,33.0,10.0,2.0,0.0,5.0,5.0,2.0,3.0,0.0,0.0,5.0,0.333,0.394,0.621,0.428,6.75,4.05,1.67,2.7,15.2,9.1,6.1,- - -,1.95,0.348,78.4,6.78,5.89
1,Total,vs R,12.0,- - -,56.0,10.0,2.0,1.0,9.0,9.0,4.0,8.0,0.0,2.0,8.0,0.217,0.357,0.591,0.396,6.0,6.0,1.0,3.0,14.3,14.3,0.0,- - -,1.5,0.177,76.4,8.53,6.7
