,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,43.1,6.44,193.0,54.0,9.0,1.0,31.0,31.0,10.0,14.0,0.0,4.0,28.0,0.309,0.373,0.549,0.397,5.82,2.91,2.0,2.08,14.5,7.3,7.3,0.309,1.57,0.321,70.7,6.07,4.57
1,Total,Away,38.1,4.7,177.0,44.0,8.0,2.0,22.0,20.0,3.0,17.0,3.0,2.0,26.0,0.279,0.362,0.428,0.342,6.1,3.99,1.53,0.7,14.7,9.6,5.1,0.279,1.59,0.318,69.7,4.27,4.51
