,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,104.2,- - -,467.0,122.0,31.0,1.0,56.0,52.0,9.0,44.0,11.0,2.0,52.0,0.29,0.361,0.438,0.343,4.47,3.78,1.18,0.77,11.1,9.4,1.7,- - -,1.59,0.314,72.1,4.56,4.75
1,Total,vs R,145.2,- - -,634.0,159.0,22.0,5.0,67.0,62.0,16.0,43.0,10.0,11.0,91.0,0.274,0.34,0.419,0.329,5.62,2.66,2.12,0.99,14.4,6.8,7.6,- - -,1.39,0.302,76.6,4.41,4.17
