,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,46.0,- - -,209.0,48.0,15.0,2.0,23.0,23.0,4.0,20.0,0.0,5.0,49.0,0.261,0.351,0.434,0.346,9.59,3.91,2.45,0.78,23.4,9.6,13.9,- - -,1.48,0.336,74.2,3.7,3.81
1,Total,vs R,63.0,- - -,284.0,59.0,14.0,0.0,44.0,41.0,8.0,36.0,8.0,1.0,55.0,0.239,0.338,0.401,0.316,7.86,5.14,1.53,1.14,19.4,12.7,6.7,- - -,1.51,0.277,61.3,4.73,4.84
