,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,43.1,- - -,177.0,32.0,2.0,0.0,15.0,13.0,3.0,17.0,1.0,1.0,39.0,0.201,0.286,0.281,0.256,8.1,3.53,2.29,0.62,22.0,9.6,12.4,- - -,1.13,0.248,76.4,3.43,3.56
1,Total,vs R,45.2,- - -,212.0,53.0,12.0,1.0,32.0,30.0,5.0,30.0,7.0,2.0,35.0,0.294,0.403,0.463,0.371,6.9,5.91,1.17,0.99,16.5,14.2,2.4,- - -,1.82,0.343,68.0,5.07,4.93
