,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,97.1,- - -,423.0,98.0,23.0,2.0,55.0,49.0,15.0,42.0,7.0,1.0,74.0,0.258,0.336,0.455,0.34,6.84,3.88,1.76,1.39,17.5,9.9,7.6,- - -,1.44,0.285,71.7,4.88,4.26
1,Total,vs R,136.1,- - -,557.0,112.0,5.0,2.0,43.0,40.0,13.0,57.0,1.0,2.0,134.0,0.225,0.31,0.327,0.288,8.85,3.76,2.35,0.86,24.1,10.2,13.8,- - -,1.24,0.282,83.8,3.65,3.41
