,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,431.1,4.9,1858.0,454.0,106.0,10.0,248.0,235.0,74.0,117.0,9.0,7.0,328.0,0.262,0.313,0.468,0.334,6.84,2.44,2.8,1.54,17.7,6.3,11.3,0.262,1.32,0.285,69.6,4.62,4.49
1,Total,Away,351.2,5.58,1545.0,399.0,84.0,11.0,231.0,218.0,70.0,98.0,3.0,11.0,212.0,0.278,0.332,0.507,0.357,5.43,2.51,2.16,1.79,13.7,6.3,7.4,0.278,1.41,0.285,67.6,5.36,5.14
