,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,34.2,- - -,154.0,39.0,6.0,2.0,16.0,16.0,3.0,15.0,2.0,1.0,23.0,0.283,0.362,0.426,0.344,5.97,3.89,1.53,0.78,14.9,9.7,5.2,- - -,1.56,0.321,76.8,4.17,4.39
1,Total,vs R,62.0,- - -,240.0,49.0,8.0,0.0,18.0,15.0,5.0,8.0,2.0,1.0,70.0,0.212,0.244,0.317,0.242,10.16,1.16,8.75,0.73,29.2,3.3,25.8,- - -,0.92,0.282,78.4,2.22,2.8
