,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,16.1,2.76,70.0,17.0,4.0,0.0,6.0,5.0,1.0,6.0,0.0,0.0,12.0,0.266,0.338,0.387,0.323,6.61,3.31,2.0,0.55,17.1,8.6,8.6,0.266,1.41,0.314,78.7,3.41,4.44
1,Total,Away,4.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.143,0.143,0.214,0.153,9.0,0.0,4.0,0.0,28.6,0.0,28.6,0.143,0.5,0.2,100.0,1.0,1.36
