,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,129.0,4.81,548.0,126.0,25.0,3.0,75.0,69.0,20.0,45.0,12.0,3.0,108.0,0.252,0.325,0.451,0.328,7.53,3.14,2.4,1.4,19.7,8.2,11.5,0.252,1.33,0.285,67.8,4.62,4.28
1,Total,Away,122.2,4.84,527.0,130.0,38.0,4.0,69.0,66.0,16.0,42.0,7.0,1.0,93.0,0.269,0.333,0.472,0.344,6.82,3.08,2.21,1.17,17.7,8.0,9.7,0.269,1.4,0.304,69.1,4.4,4.33
