,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,63.1,- - -,290.0,84.0,12.0,2.0,39.0,32.0,5.0,22.0,0.0,6.0,25.0,0.321,0.389,0.447,0.369,3.55,3.13,1.14,0.71,8.6,7.6,1.0,- - -,1.67,0.341,69.5,4.72,4.89
1,Total,vs R,193.2,- - -,878.0,232.0,42.0,1.0,141.0,121.0,21.0,93.0,7.0,3.0,107.0,0.297,0.377,0.443,0.359,4.97,4.32,1.15,0.98,12.2,10.6,1.6,- - -,1.68,0.323,62.6,4.97,4.56
