,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,144.1,- - -,617.0,148.0,33.0,3.0,86.0,75.0,18.0,42.0,17.0,0.0,92.0,0.257,0.311,0.432,0.308,5.74,2.62,2.19,1.12,14.9,6.8,8.1,- - -,1.32,0.28,63.1,4.27,4.4
1,Total,vs R,217.0,- - -,931.0,255.0,51.0,3.0,113.0,101.0,26.0,38.0,11.0,2.0,102.0,0.286,0.32,0.447,0.326,4.23,1.58,2.68,1.08,11.0,4.1,6.9,- - -,1.35,0.3,70.4,4.21,4.23
