,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,155.1,3.71,657.0,145.0,18.0,2.0,76.0,64.0,15.0,54.0,0.0,10.0,114.0,0.245,0.319,0.361,0.302,6.61,3.13,2.11,0.87,17.4,8.2,9.1,0.245,1.28,0.28,70.7,4.16,4.03
1,Total,Away,130.2,4.75,574.0,135.0,30.0,4.0,74.0,69.0,6.0,49.0,3.0,5.0,98.0,0.26,0.334,0.377,0.311,6.75,3.38,2.0,0.41,17.1,8.5,8.5,0.26,1.41,0.31,63.7,3.48,4.3
