,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,196.2,- - -,860.0,171.0,28.0,5.0,86.0,79.0,11.0,119.0,3.0,1.0,139.0,0.231,0.34,0.331,0.305,6.36,5.45,1.17,0.5,16.2,13.8,2.3,- - -,1.47,0.271,74.4,4.26,4.41
1,Total,vs R,194.1,- - -,830.0,198.0,33.0,3.0,100.0,94.0,15.0,80.0,1.0,7.0,109.0,0.267,0.345,0.385,0.324,5.05,3.7,1.36,0.69,13.1,9.6,3.5,- - -,1.43,0.296,70.1,4.35,4.65
