,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,224.0,3.9,966.0,230.0,44.0,3.0,111.0,97.0,29.0,73.0,6.0,8.0,129.0,0.26,0.324,0.419,0.323,5.18,2.93,1.77,1.17,13.4,7.6,5.8,0.26,1.35,0.277,74.0,4.64,4.46
1,Total,Away,198.2,5.3,899.0,250.0,45.0,6.0,134.0,117.0,27.0,53.0,9.0,12.0,100.0,0.3,0.353,0.474,0.354,4.53,2.4,1.89,1.22,11.1,5.9,5.2,0.3,1.53,0.315,65.3,4.77,4.53
