,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,8.1,- - -,41.0,11.0,3.0,0.0,5.0,4.0,0.0,6.0,0.0,0.0,5.0,0.314,0.415,0.412,0.365,5.4,6.48,0.83,0.0,12.2,14.6,-2.4,- - -,2.04,0.367,70.6,4.1,6.27
1,Total,vs R,7.1,- - -,29.0,6.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,0.222,0.276,0.222,0.214,6.14,1.23,5.0,0.0,17.2,3.5,13.8,- - -,0.95,0.273,62.5,2.59,4.71
