,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,34.0,6.88,164.0,41.0,10.0,0.0,27.0,26.0,6.0,23.0,4.0,2.0,28.0,0.295,0.405,0.507,0.389,7.41,6.09,1.22,1.59,17.1,14.0,3.0,0.295,1.88,0.333,67.7,6.04,6.0
1,Total,Away,30.0,6.6,132.0,30.0,5.0,1.0,22.0,22.0,5.0,10.0,0.0,3.0,26.0,0.252,0.328,0.441,0.337,7.8,3.0,2.6,1.5,19.7,7.6,12.1,0.252,1.33,0.284,58.3,4.91,5.04
