,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,118.1,3.04,503.0,100.0,16.0,2.0,46.0,40.0,9.0,55.0,1.0,3.0,108.0,0.225,0.316,0.333,0.294,8.21,4.18,1.96,0.68,21.5,10.9,10.5,0.225,1.31,0.277,77.0,3.72,3.92
1,Total,Away,101.2,3.54,432.0,82.0,15.0,4.0,46.0,40.0,12.0,55.0,8.0,1.0,104.0,0.218,0.323,0.384,0.308,9.21,4.87,1.89,1.06,24.1,12.7,11.3,0.218,1.35,0.269,75.9,4.23,4.11
