,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,47.1,2.66,202.0,42.0,7.0,0.0,16.0,14.0,1.0,21.0,3.0,1.0,39.0,0.233,0.318,0.291,0.272,7.42,3.99,1.86,0.19,19.3,10.4,8.9,0.233,1.33,0.293,76.7,3.17,4.23
1,Total,Away,45.2,3.74,189.0,47.0,8.0,2.0,27.0,19.0,8.0,11.0,1.0,0.0,39.0,0.264,0.307,0.469,0.327,7.69,2.17,3.55,1.58,20.6,5.8,14.8,0.264,1.27,0.298,66.2,4.44,3.83
