,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,277.2,- - -,1215.0,261.0,47.0,13.0,149.0,138.0,35.0,136.0,19.0,9.0,243.0,0.244,0.337,0.416,0.327,7.88,4.41,1.79,1.13,20.0,11.2,8.8,- - -,1.43,0.285,72.0,4.55,4.56
1,Total,vs R,352.1,- - -,1515.0,341.0,53.0,6.0,181.0,170.0,37.0,120.0,6.0,24.0,305.0,0.249,0.327,0.389,0.317,7.79,3.07,2.54,0.95,20.1,7.9,12.2,- - -,1.31,0.295,70.2,3.96,3.77
