,Date,Team,Opp,GS,W,L,ERA,G,GS_x,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2,DKfp,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,FIP
0,Total,- - -,- - -,14.0,2.0,7.0,5.6,31.0,14.0,0.0,0.0,0.0,0.0,0.0,91.2,439.0,107.0,67.0,57.0,16.0,53.0,2.0,2.0,7.0,0.0,84.0,40.0,244.75000000000009,8.25,5.2,1.58,1.57,19.1,12.1,7.1,0.279,1.75,0.32,68.1,139.0,131.0,5.38
1,2016-09-27,CIN,@STL,0.0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0, ,-7.55,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.75,9.0,0.667,62.5,1286.0,991.0,42.15
2,2016-09-12,CIN,MIL,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,21.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,62.0,21.650000000000002,13.5,3.86,3.5,0.0,33.3,9.5,23.8,0.222,1.29,0.364,100.0,0.0,50.0,2.08
3,2016-09-05,CIN,NYM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, ,9.25,9.0,0.0,1.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,100.0,0.0,28.0,1.15
4,2016-08-19,CIN,LAD,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0, ,-0.95,0.0,18.0,0.0,0.0,0.0,33.3,-33.3,0.25,3.0,0.25,66.7,214.0,216.0,9.15
5,2016-08-12,CIN,@MIL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0, ,1.85,13.5,13.5,1.0,13.5,20.0,20.0,0.0,0.25,3.0,0.0,-166.7,0.0,568.0,24.15
6,2016-07-23,CIN,ARI,1.0,0.0,0.0,2.08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1,19.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,56.0,18.025000000000002,12.46,4.15,3.0,0.0,31.6,10.5,21.1,0.235,1.38,0.364,83.3,49.0,42.0,1.76
7,2016-07-03,CIN,@WSN,0.0,0.0,0.0,10.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,14.0,5.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0, ,1.7499999999999991,6.75,3.38,2.0,6.75,14.3,7.1,7.1,0.417,2.25,0.375,95.2,241.0,321.0,13.65
8,2016-05-19,CIN,CLE,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0, ,4.95,3.0,9.0,0.33,0.0,6.7,20.0,-13.3,0.25,2.0,0.273,83.3,71.0,130.0,5.48
9,2016-04-13,CIN,@CHC,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0, ,2.7,9.0,13.5,0.67,4.5,18.2,27.3,-9.1,0.25,2.5,0.2,83.3,214.0,286.0,12.15
10,2015-10-02,CIN,@PIT,1.0,0.0,0.0,7.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,47.0,16.05,12.6,3.6,3.5,1.8,31.8,9.1,22.7,0.15,1.0,0.167,27.8,183.0,104.0,4.13
11,2015-09-27,CIN,NYM,1.0,0.0,1.0,6.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.2,18.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,4.949999999999999,6.75,0.0,2.0,3.37,11.1,0.0,11.1,0.444,3.0,0.467,45.5,171.0,164.0,6.51
12,2015-09-14,CIN,@SFG,1.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,30.0,-0.44999999999999996,0.0,6.0,0.0,0.0,0.0,12.5,-12.5,0.357,2.33,0.357,42.9,229.0,129.0,5.13
13,2015-09-05,CIN,MIL,1.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,34.0,4.95,9.0,9.0,1.0,0.0,18.8,18.8,0.0,0.385,2.67,0.5,62.5,229.0,104.0,4.13
14,2015-08-24,CIN,DET,1.0,0.0,0.0,11.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,9.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,18.0,7.8,11.25,4.5,2.5,4.5,22.7,9.1,13.6,0.45,2.75,0.538,73.2,286.0,217.0,8.63
15,2015-08-13,CIN,@LAD,1.0,1.0,0.0,3.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,5.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,43.0,15.45,5.4,5.4,1.0,1.8,13.6,13.6,0.0,0.263,1.6,0.267,90.9,91.0,159.0,6.33
16,2015-08-02,CIN,PIT,1.0,0.0,1.0,5.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,51.0,16.65,10.8,1.8,6.0,1.8,30.0,5.0,25.0,0.158,0.8,0.167,38.5,137.0,99.0,3.93
17,2016-09-17,CIN,PIT,0.0,0.0,0.0,5.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,11.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0, ,2.2999999999999994,10.8,21.6,0.5,0.0,18.2 %,36.4 %,-18.2 %,0.143,3.0,0.2,60.0 %,129.0,188.0,7.95
18,2016-09-08,CIN,@PIT,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0, ,1.65,9.0,9.0,1.0,0.0,16.7 %,16.7 %,0.0 %,0.4,3.0,0.5,66.7 %,214.0,98.0,4.15
19,2016-09-04,CIN,STL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, ,9.25,9.0,0.0,1.0,0.0,33.3 %,0.0 %,33.3 %,0.0,0.0,0.0,100.0 %,0.0,28.0,1.15
20,2016-08-14,CIN,@MIL,0.0,0.0,0.0,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0, ,16.65,7.2,1.8,4.0,1.8,22.2 %,5.6 %,16.7 %,0.118,0.6,0.083,100.0 %,43.0,112.0,4.75
21,2016-08-06,CIN,@PIT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0, ,15.5,13.5,0.0,3.0,0.0,50.0 %,0.0 %,50.0 %,0.0,0.0,0.0,100.0 %,0.0,4.0,0.15
22,2016-07-16,CIN,MIL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0, ,17.8,11.25,4.5,2.5,0.0,29.4 %,11.8 %,17.7 %,0.2,1.25,0.3,100.0 %,0.0,51.0,2.15
23,2016-06-29,CIN,CHC,0.0,0.0,0.0,3.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,15.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0, ,6.549999999999999,10.13,13.5,0.75,0.0,20.0 %,26.7 %,-6.7 %,0.273,2.63,0.375,71.4 %,80.0,128.0,5.4
24,2016-05-18,CIN,CLE,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0, ,4.25,18.0,0.0,2.0,9.0,50.0 %,0.0 %,50.0 %,0.25,1.0,0.0,100.0 %,214.0,286.0,12.15
25,2016-04-07,CIN,PHI,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0, ,-0.35,9.0,9.0,1.0,9.0,16.7 %,16.7 %,0.0 %,0.4,3.0,0.333,62.5 %,429.0,404.0,17.15
26,2015-09-22,CIN,@STL,1.0,0.0,0.0,1.69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1,22.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,54.0,9.675,1.69,5.06,0.33,0.0,4.6 %,13.6 %,-9.1 %,0.211,1.31,0.222,85.7 %,43.0,112.0,4.45
