,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,61.2,- - -,267.0,56.0,13.0,2.0,28.0,27.0,5.0,28.0,3.0,2.0,21.0,0.236,0.326,0.389,0.311,3.06,4.09,0.75,0.73,7.9,10.5,-2.6,- - -,1.36,0.242,73.4,4.96,5.66
1,Total,vs R,72.1,- - -,309.0,74.0,18.0,0.0,39.0,35.0,4.0,23.0,2.0,8.0,38.0,0.266,0.341,0.38,0.321,4.73,2.86,1.65,0.5,12.3,7.4,4.9,- - -,1.34,0.297,66.4,4.08,4.57
