,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,0.1,- - -,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.44,27.0,0.0,1.0,0.0,50.0,0.0,50.0,- - -,3.0,1.0,100.0,-2.84,-2.84
1,Total,vs R,0.2,- - -,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.6,0.528,13.5,0.0,1.0,0.0,20.0,0.0,20.0,- - -,4.5,0.75,33.3,0.16,2.63
