,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,25.1,- - -,107.0,27.0,6.0,0.0,16.0,15.0,8.0,3.0,0.0,0.0,12.0,0.26,0.28,0.559,0.343,4.26,1.07,4.0,2.84,11.2,2.8,8.4,- - -,1.18,0.226,74.5,6.67,6.15
1,Total,vs R,33.2,- - -,136.0,33.0,7.0,0.0,20.0,20.0,6.0,5.0,0.0,1.0,19.0,0.254,0.287,0.453,0.31,5.08,1.34,3.8,1.6,14.0,3.7,10.3,- - -,1.13,0.257,62.1,4.88,5.1
