,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,31.2,- - -,152.0,41.0,4.0,1.0,25.0,24.0,7.0,16.0,1.0,3.0,26.0,0.308,0.397,0.515,0.396,7.39,4.55,1.63,1.99,17.1,10.5,6.6,- - -,1.8,0.34,69.7,6.2,4.94
1,Total,vs R,52.0,- - -,263.0,61.0,19.0,0.0,49.0,45.0,8.0,51.0,2.0,2.0,37.0,0.291,0.435,0.502,0.41,6.4,8.83,0.73,1.38,14.1,19.4,-5.3,- - -,2.15,0.321,63.2,6.79,6.8
