,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,16.0,3.94,71.0,19.0,5.0,0.0,7.0,7.0,2.0,8.0,0.0,0.0,9.0,0.302,0.38,0.484,0.376,5.06,4.5,1.13,1.13,12.7,11.3,1.4,0.302,1.69,0.327,82.6,5.06,4.3
1,Total,Away,3.0,3.0,14.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.25,0.357,0.364,0.316,6.0,6.0,1.0,0.0,14.3,14.3,0.0,0.25,1.67,0.3,60.0,3.71,5.08
