,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,215.2,3.55,900.0,195.0,36.0,5.0,90.0,85.0,24.0,71.0,6.0,8.0,153.0,0.238,0.306,0.387,0.304,6.38,2.96,2.15,1.0,17.0,7.9,9.1,0.238,1.23,0.266,76.5,4.22,4.5
1,Total,Away,173.0,5.2,762.0,187.0,36.0,9.0,106.0,100.0,26.0,62.0,8.0,9.0,161.0,0.271,0.34,0.468,0.348,8.38,3.23,2.6,1.35,21.1,8.1,13.0,0.271,1.44,0.319,68.6,4.42,4.12
