,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,139.0,5.12,631.0,135.0,31.0,3.0,85.0,79.0,10.0,71.0,12.0,14.0,113.0,0.247,0.351,0.375,0.321,7.32,4.6,1.59,0.65,17.9,11.3,6.7,0.247,1.48,0.296,65.5,4.29,4.21
1,Total,Away,130.2,3.65,590.0,141.0,29.0,3.0,60.0,53.0,3.0,62.0,5.0,10.0,90.0,0.272,0.367,0.37,0.329,6.2,4.27,1.45,0.21,15.3,10.5,4.7,0.272,1.55,0.325,73.3,3.72,4.2
