,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,1.1,6.75,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.2,0.0,0.141,13.5,6.75,2.0,0.0,40.0,20.0,20.0,0.0,0.75,0.0,0.0,2.21,4.29
1,Total,Away,4.2,11.57,24.0,6.0,1.0,0.0,6.0,6.0,0.0,5.0,1.0,0.0,2.0,0.316,0.478,0.412,0.388,3.86,9.64,0.4,0.0,8.3,20.8,-12.5,0.316,2.36,0.353,45.5,5.32,7.1
