,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,13.0,- - -,54.0,11.0,2.0,0.0,11.0,9.0,1.0,6.0,2.0,0.0,7.0,0.229,0.315,0.34,0.28,4.85,4.15,1.17,0.69,13.0,11.1,1.9,- - -,1.31,0.25,38.5,4.38,3.85
1,Total,vs R,18.0,- - -,90.0,33.0,6.0,2.0,14.0,13.0,1.0,2.0,0.0,3.0,15.0,0.388,0.427,0.548,0.427,7.5,1.0,7.5,0.5,16.7,2.2,14.5,- - -,1.94,0.464,65.6,2.97,3.53
