,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,102.1,- - -,456.0,123.0,30.0,3.0,65.0,62.0,17.0,28.0,3.0,1.0,67.0,0.288,0.336,0.501,0.358,5.89,2.46,2.39,1.5,14.7,6.1,8.5,- - -,1.48,0.309,67.9,4.77,4.29
1,Total,vs R,122.0,- - -,508.0,119.0,26.0,2.0,65.0,54.0,12.0,27.0,2.0,6.0,94.0,0.251,0.301,0.393,0.304,6.93,1.99,3.48,0.89,18.5,5.3,13.2,- - -,1.2,0.29,64.4,3.61,3.98
