,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,42.0,- - -,188.0,41.0,12.0,0.0,21.0,21.0,5.0,22.0,1.0,4.0,45.0,0.253,0.356,0.42,0.344,9.64,4.71,2.05,1.07,23.9,11.7,12.2,- - -,1.5,0.321,76.7,4.32,4.02
1,Total,vs R,40.0,- - -,211.0,55.0,17.0,0.0,35.0,32.0,4.0,35.0,12.0,3.0,30.0,0.318,0.445,0.503,0.398,6.75,7.88,0.86,0.9,14.2,16.6,-2.4,- - -,2.25,0.367,66.4,5.7,6.23
