,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,3.1,8.1,16.0,3.0,0.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,3.0,0.25,0.438,0.417,0.386,8.1,10.8,0.75,0.0,18.8,25.0,-6.3,0.25,2.1,0.333,57.1,4.93,6.04
1,Total,Away,2.0,13.5,12.0,6.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.546,0.583,0.818,0.61,4.5,0.0,1.0,4.5,8.3,0.0,8.3,0.546,3.0,0.556,71.4,10.13,5.49
