,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,77.1,7.1,364.0,98.0,17.0,0.0,64.0,61.0,8.0,44.0,2.0,4.0,51.0,0.31,0.403,0.448,0.376,5.94,5.12,1.16,0.93,14.0,12.1,1.9,0.31,1.84,0.35,60.8,4.95,4.89
1,Total,Away,100.1,4.66,456.0,113.0,32.0,2.0,53.0,52.0,10.0,45.0,3.0,2.0,72.0,0.276,0.356,0.448,0.351,6.46,4.04,1.6,0.9,15.8,9.9,5.9,0.276,1.57,0.315,73.3,4.32,4.53
