,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,169.2,- - -,822.0,231.0,54.0,5.0,132.0,124.0,41.0,84.0,14.0,7.0,116.0,0.316,0.395,0.582,0.411,6.15,4.46,1.38,2.17,14.1,10.2,3.9,- - -,1.86,0.331,71.8,6.52,5.48
1,Total,vs R,198.1,- - -,838.0,214.0,46.0,6.0,119.0,118.0,24.0,46.0,2.0,15.0,121.0,0.275,0.334,0.453,0.341,5.49,2.09,2.63,1.09,14.4,5.5,8.9,- - -,1.31,0.301,64.6,4.41,4.37
