,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,10.1,7.84,50.0,13.0,3.0,0.0,9.0,9.0,2.0,6.0,0.0,1.0,9.0,0.302,0.417,0.55,0.415,7.84,5.23,1.5,1.74,18.0,12.0,6.0,0.302,1.84,0.344,64.0,6.05,5.96
1,Total,Away,9.1,3.86,38.0,9.0,2.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,8.0,0.243,0.263,0.351,0.256,7.71,0.96,8.0,0.0,21.1,2.6,18.4,0.243,1.07,0.31,60.0,1.85,4.27
