,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,9.0,- - -,48.0,16.0,4.0,0.0,7.0,6.0,1.0,5.0,3.0,0.0,5.0,0.372,0.438,0.535,0.404,5.0,5.0,1.0,1.0,10.4,10.4,0.0,- - -,2.33,0.405,71.4,5.05,4.71
1,Total,vs R,16.0,- - -,68.0,20.0,2.0,0.0,13.0,13.0,2.0,3.0,0.0,1.0,8.0,0.313,0.353,0.438,0.346,4.5,1.69,2.67,1.13,11.8,4.4,7.3,- - -,1.44,0.333,51.9,4.42,4.04
